No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
63,I. Canaan,1,34.1,13,2,3,2,0,0,2,2,0,4.0-10.0,0.4,3.0-7.0,0.429,2.0-4.0,0.5,12
64,B. Beal,3,38.9,21.7,3.3,2.3,2,0.3,2.7,2.7,2,1.3,9.0-22.7,0.397,2.0-9.0,0.222,1.7-3.0,0.556,12
65,C. Capela,4,22.2,7.5,6,1,0.5,2.3,0.8,1.8,4,2,3.5-6.8,0.519,0.0-0.0,-,0.5-1.8,0.286,12
66,T. Snell,4,29.4,12.3,3,1.3,0,0,0.3,2.8,2.5,0.5,4.5-8.8,0.514,3.3-6.5,0.5,0.0-0.0,-,12
67,N. Mirotic,4,26.8,10.3,6,1.5,1,0.8,1,3,5.3,0.8,3.3-10.0,0.325,1.8-6.5,0.269,2.0-2.0,1,11.8
68,K. Olynyk,4,19.1,8.3,3,3,1.3,1,1,2.5,2,1,3.3-6.3,0.52,1.3-2.8,0.455,0.5-1.3,0.4,11.8
69,Markieff Morris,3,29.2,11,5.3,1.3,0.7,2.7,1.3,4.7,4.7,0.7,4.3-12.0,0.361,1.0-3.7,0.273,1.3-1.7,0.8,11.7
70,B. Jennings,3,16.3,7.7,2.3,3.7,0.3,0,0.7,0.7,2,0.3,2.7-4.3,0.615,0.3-1.3,0.25,2.0-2.0,1,11.7
71,J. Valanciunas,4,22.1,10.5,7.8,0,0.3,0,2.3,3,6.3,1.5,3.5-7.3,0.483,0.0-0.0,-,3.5-4.8,0.737,11.3
72,C. Frye,4,15.4,8.5,2.3,1.5,0.5,0.8,0,0.8,2.3,0,2.8-5.0,0.55,1.8-3.8,0.467,1.3-1.3,1,11.3
73,P. Gasol,4,25.8,7.5,7,1,0,1,0.8,1.5,4.8,2.3,3.0-7.3,0.414,1.0-1.8,0.571,0.5-1.0,0.5,11
74,A. Bradley,4,36.4,12.3,3.5,3.5,1.8,0.3,2.5,1.5,2.8,0.8,4.5-11.8,0.383,2.8-7.5,0.367,0.5-1.0,0.5,11
75,J. Grant,4,21.7,8.8,3.5,0.8,0.3,0.5,0.8,1.8,2.5,1,3.8-5.8,0.652,0.3-0.8,0.333,1.0-1.3,0.8,10.8
76,T. Parker,4,25.4,13.8,2.5,2,0.5,0,1.3,2,2.3,0.3,5.8-12.5,0.46,1.3-2.3,0.556,1.0-1.0,1,10.8
77,P. McCaw,3,21.1,6.7,3.3,2,1,0.7,0,1.3,2.7,0.7,2.3-4.7,0.5,0.7-1.7,0.4,1.3-2.0,0.667,10.7
78,N. Powell,3,18.2,9.7,2.3,1.7,0.3,0.7,0.3,1.3,2,0.3,3.0-6.3,0.474,1.3-1.7,0.8,2.3-2.7,0.875,10.7
79,L. Mbah A Moute,4,35.9,7.8,5.8,1,1,0.5,0.5,2,3.8,2,2.8-7.0,0.393,0.8-2.8,0.273,1.5-2.5,0.6,10.3
80,T. Ariza,4,38.6,7.3,5.3,1.5,1,0.3,1,2,4.5,0.8,2.5-6.5,0.385,0.8-2.8,0.273,1.5-1.5,1,10.3
81,I. Clark,3,17.8,10,3,0.7,0.3,0,0.3,2.7,2.7,0.3,3.3-6.3,0.526,0.7-1.3,0.5,2.7-3.0,0.889,10.3
82,T. Maker,4,20,6.8,3,2,1,1.3,1,3.5,1.5,1.5,2.5-5.3,0.476,0.5-1.5,0.333,1.3-1.3,1,10.3
83,D. Williams,4,15.6,8.3,0.8,1.5,0.3,0.3,0,2.3,0.5,0.3,2.5-3.3,0.769,1.8-2.3,0.778,1.5-1.8,0.857,10
84,O. Porter Jr.,3,26.4,7,5,1.3,1.3,0,0.7,3,4,1,2.7-6.7,0.4,0.7-2.7,0.25,1.0-1.0,1,10
85,R. Anderson,4,29.9,8.8,6,0.3,0.8,0.3,1,3,4,2,3.0-8.3,0.364,0.8-5.3,0.143,2.0-2.0,1,9.8
86,M. Brogdon,4,31.7,7.3,5.5,4.3,0,0.5,2.3,1.5,4.8,0.8,3.0-8.8,0.343,1.3-3.3,0.385,0.0-0.0,-,9.5
87,K. Bazemore,3,24.7,9.3,3.7,2.3,0.3,1.3,2,2.7,2.7,1,3.0-7.7,0.391,1.0-3.0,0.333,2.3-3.3,0.7,9.3
88,J. Ennis,4,24.8,7,4.5,1,1,0.5,1.3,3.8,3.3,1.3,2.0-5.5,0.364,0.3-2.3,0.111,2.8-3.3,0.846,8.8
