No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
19,K. Lowry,77,37,21.2,4.7,6.4,2.1,0.4,2.9,2.7,4,0.7,6.6-15.6,0.427,2.8-7.1,0.388,5.2-6.4,0.811,21.8
20,D. Lillard,75,35.7,25.1,4,6.8,0.9,0.4,3.2,2.2,3.4,0.6,8.2-19.7,0.419,3.1-8.1,0.375,5.5-6.2,0.892,21.8
21,A. Drummond,81,32.9,16.2,14.8,0.8,1.5,1.4,1.9,3,9.9,4.9,6.8-13.1,0.52,0.0-0.1,0.333,2.6-7.2,0.355,21.8
22,J. Butler,67,36.9,20.9,5.4,4.8,1.6,0.6,2,1.9,4.2,1.2,7.0-15.4,0.455,1.0-3.1,0.311,5.9-7.1,0.832,21.7
23,B. Lopez,73,33.7,20.6,7.9,2,0.8,1.7,2.4,2.9,5.1,2.8,8.1-15.9,0.51,0.0-0.2,0.143,4.3-5.5,0.787,21.6
24,C. Anthony,72,35.1,21.8,7.7,4.2,0.9,0.5,2.4,2.5,6.4,1.4,7.9-18.2,0.434,1.5-4.3,0.339,4.6-5.6,0.829,21.4
25,N. Vucevic,65,31.3,18.2,8.8,2.8,0.8,1.1,1.9,2.7,6.1,2.7,8.2-16.1,0.51,0.0-0.1,0.222,1.7-2.3,0.753,21.3
26,G. Antetokounmpo,80,35.3,16.9,7.7,4.3,1.2,1.4,2.6,3.2,6.3,1.4,6.4-12.7,0.507,0.4-1.4,0.255,3.7-5.1,0.724,21.2
27,R. Rondo,72,35.2,11.9,6.1,11.6,2,0.1,3.9,2.4,5,1.1,4.9-10.9,0.454,0.9-2.4,0.365,1.2-2.1,0.58,21.1
28,L. Aldridge,74,30.6,18,8.5,1.5,0.5,1.1,1.3,2,6.2,2.4,7.2-14.1,0.513,0.0-0.2,-,3.5-4.1,0.858,20.8
29,D. Howard,71,32.1,13.7,11.8,1.4,1,1.6,2.3,3.1,8.4,3.4,5.2-8.5,0.619,0.0-0.1,-,3.3-6.7,0.489,20.5
30,A. Horford,82,32.1,15.2,7.3,3.2,0.8,1.5,1.3,2,5.5,1.8,6.5-12.8,0.504,1.1-3.1,0.342,1.3-1.6,0.798,20.1
31,K. Walker,81,35.6,20.9,4.4,5.2,1.6,0.5,2.1,1.4,3.7,0.7,7.0-16.4,0.426,2.2-6.0,0.371,4.6-5.4,0.847,20.1
32,D. DeRozan,78,35.9,23.5,4.5,4,1.1,0.3,2.2,2.1,3.7,0.8,7.9-17.7,0.446,0.6-1.8,0.338,7.1-8.4,0.85,20
33,C. Bosh,53,33.5,19.1,7.4,2.4,0.7,0.6,1.5,1.9,6.5,0.9,6.8-14.5,0.467,1.5-4.2,0.365,4.0-5.1,0.795,19.9
34,G. Monroe,79,29.3,15.3,8.8,2.3,0.9,0.8,1.6,2.1,6.1,2.8,6.2-11.9,0.522,0.0-0.0,-,2.9-3.9,0.74,19.8
35,E. Bledsoe,31,34.2,20.4,4,6.1,2,0.6,3.6,2.4,3.5,0.6,7.2-15.9,0.453,1.5-4.2,0.372,4.5-5.5,0.802,19.8
36,M. Gortat,75,30.1,13.5,9.9,1.4,0.6,1.3,1.6,2.6,6.9,2.9,5.8-10.2,0.567,0.0-0.0,-,1.9-2.8,0.705,19.8
37,K. Love,77,31.5,16,9.9,2.4,0.8,0.5,1.8,2.1,7.9,1.9,5.3-12.7,0.418,2.1-5.7,0.36,3.4-4.1,0.822,19.7
38,D. Favors,62,32,16.4,8.1,1.5,1.2,1.5,1.7,2.4,5.4,2.7,6.7-13.1,0.515,0.0-0.1,-,2.9-4.1,0.709,19.5
39,I. Thomas,82,32.2,22.2,3,6.2,1.1,0.1,2.7,2,2.4,0.6,7.2-16.9,0.428,2.0-5.7,0.359,5.8-6.6,0.871,19.4
40,M. Gasol,52,34.4,16.6,7,3.8,1,1.3,2.3,2.7,5.8,1.1,6.3-13.6,0.464,0.0-0.1,0.667,3.9-4.7,0.829,19.2
41,T. Young,73,33,15.1,9.1,1.8,1.5,0.5,1.9,2.5,6.6,2.4,6.8-13.2,0.514,0.1-0.4,0.233,1.4-2.2,0.644,19
42,D. Nowitzki,75,31.5,18.3,6.5,1.8,0.7,0.7,1.1,2.1,5.8,0.7,6.6-14.8,0.448,1.7-4.6,0.368,3.3-3.7,0.893,18.3
43,K. Thompson,80,33.3,22.1,3.8,2.1,0.8,0.6,1.7,1.9,3.4,0.4,8.1-17.3,0.47,3.5-8.1,0.425,2.4-2.8,0.873,18.2
44,D. Gallinari,53,34.7,19.5,5.3,2.5,0.8,0.4,1.5,1.6,4.3,1,5.4-13.2,0.41,1.6-4.5,0.361,7.1-8.2,0.868,18.2
45,J. Valanciunas,60,25.9,12.8,9.1,0.7,0.4,1.3,1.4,2.6,6.1,3.1,5.1-8.9,0.565,0.0-0.0,-,2.7-3.6,0.761,18.2
46,R. Gobert,61,31.7,9.1,11,1.5,0.7,2.1,1.9,2.7,7.5,3.4,3.2-5.8,0.559,0.0-0.0,-,2.6-4.6,0.569,18
47,N. Batum,70,35,14.9,6.1,5.8,0.9,0.6,2.9,1.6,5.3,0.8,5.3-12.5,0.427,2.0-5.7,0.348,2.3-2.7,0.849,17.9
48,G. Hayward,80,36.2,19.7,5,3.7,1.2,0.3,2.5,2.3,4.2,0.8,6.5-15.0,0.433,1.8-5.1,0.349,4.9-6.0,0.824,17.8
49,T. Evans,25,30.6,15.2,5.2,6.6,1.3,0.3,2.9,2.6,4.4,0.8,5.4-12.5,0.435,1.3-3.4,0.388,3.0-3.7,0.796,17.7
50,K. Middleton,79,36.1,18.2,3.8,4.2,1.7,0.2,2.3,2.6,3.2,0.6,6.4-14.5,0.443,1.8-4.6,0.395,3.5-3.9,0.888,17.3
51,R. Rubio,76,30.6,10.1,4.3,8.6,2.1,0.1,2.6,2.6,3.8,0.5,2.9-7.7,0.374,0.8-2.5,0.326,3.5-4.1,0.847,17.3
52,R. Gay,70,34,17.2,6.5,1.7,1.4,0.7,2,2.6,5,1.5,6.7-14.4,0.463,1.1-3.1,0.344,2.8-3.6,0.78,17.1
53,C. McCollum,80,34.7,20.8,3.2,4.3,1.2,0.3,2.5,2.3,2.7,0.6,8.0-17.9,0.448,2.5-5.9,0.416,2.3-2.8,0.827,17
54,V. Oladipo,72,33,16,4.8,3.9,1.6,0.8,2.1,2.4,4.2,0.7,5.9-13.5,0.439,1.4-3.9,0.35,2.8-3.4,0.83,16.9
55,K. Faried,67,25.3,12.5,8.7,1.2,0.5,0.9,1.4,2.5,5.2,3.5,5.2-9.3,0.558,0.0-0.0,0.5,2.0-3.3,0.613,16.9
56,T. Harris,76,33.1,14.7,6.7,2.2,0.9,0.5,1.4,2,5.4,1.3,5.5-11.7,0.469,1.1-3.1,0.336,2.7-3.2,0.831,16.9
57,D. Wade,74,30.5,19,4.1,4.6,1.1,0.6,2.7,1.6,3,1.1,7.3-16.0,0.456,0.1-0.6,0.159,4.4-5.5,0.793,16.8
58,Z. Randolph,68,29.7,15.3,7.8,2.1,0.6,0.2,1.5,2.1,5.1,2.6,6.3-13.3,0.475,0.1-0.4,0.231,2.5-3.2,0.796,16.8
59,K. Irving,53,31.5,19.6,2.9,4.7,1.1,0.3,2.3,2,2.1,0.8,7.4-16.6,0.448,1.6-4.9,0.323,3.2-3.6,0.885,16.8
60,R. Jackson,79,30.7,18.8,3.2,6.2,0.7,0.1,2.8,2.4,2.5,0.7,6.8-15.7,0.434,1.5-4.2,0.352,3.7-4.3,0.864,16.8
61,J. Okafor,53,30,17.5,7,1.2,0.4,1.2,2.3,2.6,4.7,2.3,7.5-14.7,0.508,0.0-0.1,0.167,2.5-3.7,0.686,16.6
62,M. Conley,56,31.4,15.3,2.9,6.1,1.2,0.3,1.5,1.8,2.5,0.5,5.3-12.4,0.422,1.4-3.8,0.363,3.4-4.1,0.834,16.5
63,N. Noel,67,29.3,11.1,8.1,1.8,1.8,1.5,2.4,2.9,5.8,2.3,4.6-8.8,0.521,0.0-0.0,0.5,2.0-3.4,0.59,16.4
64,J. Holiday,65,28.2,16.8,3,6,1.4,0.3,2.6,2.3,2.6,0.4,6.3-14.4,0.439,1.3-4.0,0.336,2.8-3.3,0.843,16.3
65,B. Knight,52,36,19.6,3.9,5.1,1.2,0.4,3.4,2.4,3.2,0.7,7.1-17.2,0.415,2.3-6.7,0.343,3.0-3.5,0.852,16.1
66,K. Porzingis,72,28.5,14.3,7.3,1.3,0.7,1.9,1.7,2.8,5.5,1.8,5.2-12.3,0.421,1.1-3.4,0.333,2.8-3.3,0.838,16.1
67,E. Kanter,82,21,12.7,8.1,0.4,0.3,0.4,1.4,2,5.1,3,5.0-8.8,0.576,0.1-0.3,0.476,2.4-3.1,0.797,16.1
68,G. Dieng,82,27.1,10.1,7.1,1.7,1.1,1.2,1.7,2.7,5.2,1.9,3.8-7.0,0.533,0.1-0.2,0.3,2.5-3.0,0.827,15.7
69,J. Randle,81,28.2,11.3,10.2,1.8,0.7,0.4,1.8,3,8.1,2.1,4.4-10.3,0.429,0.1-0.4,0.278,2.4-3.3,0.715,15.7
70,J. Jack,32,32.1,12.8,4.2,7.4,1.1,0.2,2.9,2.4,4,0.3,4.4-11.2,0.391,1.0-3.2,0.304,3.1-3.5,0.893,15.6
71,N. Jokic,80,21.7,9.9,7,2.4,1,0.6,1.3,2.6,4.7,2.3,3.8-7.5,0.511,0.4-1.1,0.333,1.9-2.4,0.811,15.5
72,J. Teague,79,28.4,15.7,2.7,5.9,1.2,0.3,2.8,2.1,2.3,0.4,5.5-12.5,0.44,1.4-3.5,0.401,3.3-3.9,0.837,15.5
73,G. Dragic,72,32.8,14.1,3.8,5.8,1,0.2,2.6,2.6,3.1,0.8,5.8-12.2,0.477,0.9-2.8,0.312,1.7-2.3,0.727,15.5
74,J. Crowder,73,31.6,14.2,5.1,1.8,1.7,0.5,1.1,2.7,4.2,1,4.9-11.1,0.442,1.7-5.0,0.336,2.7-3.3,0.82,15.4
75,A. Wiggins,81,35.1,20.7,3.6,2,1,0.6,2.2,2,2.3,1.3,7.3-16.0,0.459,0.7-2.3,0.3,5.3-7.0,0.761,15.3
76,R. Anderson,66,30.4,17,6,1.1,0.6,0.4,1.4,1.7,4,2,6.0-14.1,0.428,2.0-5.4,0.367,3.0-3.5,0.873,15.3
77,S. Ibaka,78,32.1,12.6,6.8,0.8,0.5,1.9,1.4,2.7,5,1.8,5.3-11.1,0.479,0.8-2.4,0.326,1.2-1.6,0.752,15.1
78,Z. Pachulia,76,26.4,8.6,9.4,1.7,0.8,0.3,1.6,2.4,6.2,3.3,2.9-6.2,0.466,0.0-0.0,-,2.8-3.6,0.768,15.1
79,M. Williams,81,28.9,11.7,6.4,1.4,0.7,1,0.8,1.6,4.9,1.6,4.2-9.2,0.452,1.9-4.7,0.401,1.5-1.8,0.833,15
80,M. Plumlee,82,25.4,9.1,7.7,2.8,0.8,1,1.9,3.1,5.2,2.5,3.3-6.3,0.516,0.0-0.0,-,2.6-4.1,0.642,15
81,R. Lopez,82,27,10.3,7.3,1.4,0.2,1.6,1.6,2.2,4.1,3.3,4.4-8.1,0.539,0.0-0.0,-,1.6-2.0,0.795,15
82,D. Jones,1,42.4,13,5,2,1,2,0,6,4,1,6.0-14.0,0.429,1.0-2.0,0.5,0.0-0.0,-,15
83,W. Barton,82,28.7,14.4,5.8,2.5,0.9,0.5,1.7,1.8,5.1,0.7,5.2-12.0,0.433,1.4-4.0,0.346,2.6-3.3,0.806,14.9
84,M. Kidd-Gilchrist,7,29.2,12.7,6.4,1.3,0.4,0.4,1.1,1.3,4.7,1.7,4.7-8.7,0.541,0.4-1.0,0.429,2.9-4.1,0.69,14.9
85,T. Duncan,61,25.2,8.6,7.3,2.7,0.8,1.3,1.5,2,5.4,1.9,3.5-7.2,0.486,0.0-0.0,-,1.5-2.1,0.702,14.8
86,J. Sullinger,81,23.6,10.3,8.3,2.3,0.9,0.6,1.3,2.6,5.9,2.4,4.3-10.0,0.435,0.4-1.3,0.279,1.3-2.0,0.64,14.8
87,T. Thompson,82,27.7,7.8,9,0.8,0.5,0.6,0.7,2.5,5.7,3.3,3.0-5.1,0.588,0.0-0.0,-,1.8-3.0,0.616,14.7
88,I. Mahinmi,71,25.6,9.3,7.1,1.5,0.9,1.1,1.4,3.1,5.2,1.9,3.7-6.3,0.589,0.0-0.0,-,1.9-3.2,0.587,14.6
89,C. Parsons,61,29.5,13.7,4.7,2.8,0.8,0.3,1.6,1.9,4.2,0.5,5.2-10.7,0.492,1.7-4.1,0.416,1.5-2.2,0.684,14.6
90,M. Carter-Williams,54,30.5,11.5,5.1,5.2,1.5,0.8,2.8,3,4.2,0.9,4.6-10.3,0.452,0.3-1.0,0.273,2.0-3.0,0.654,14.6
91,D. Williams,65,32.4,14.1,2.9,5.8,0.9,0.2,2.3,2.4,2.6,0.3,4.9-11.9,0.414,1.5-4.3,0.344,2.8-3.2,0.869,14.3
92,A. Jefferson,47,23.3,12,6.4,1.5,0.6,0.9,0.7,2.5,5.2,1.2,5.2-10.7,0.485,0.0-0.0,-,1.5-2.4,0.649,14.3
93,L. Deng,74,32.4,12.3,6,1.9,1,0.4,1.1,1.6,4.5,1.5,4.6-10.1,0.454,1.2-3.5,0.344,2.0-2.6,0.755,14.3
94,I. Smith,77,29.1,12.6,4,6.5,1.1,0.3,2.3,1.7,3.4,0.6,5.2-12.6,0.411,0.7-2.2,0.329,1.6-2.3,0.693,14.2
95,B. Beal,55,31.1,17.4,3.4,2.9,1,0.2,2,2.1,2.7,0.7,6.5-14.5,0.449,1.9-4.9,0.387,2.5-3.2,0.767,14.2
96,J. Parker,76,31.7,14.1,5.2,1.7,0.9,0.4,1.5,2,3.6,1.6,5.8-11.8,0.493,0.1-0.5,0.257,2.3-3.0,0.768,14.1
97,D. Collison,74,30,14,2.3,4.3,1,0.1,1.7,1.9,1.9,0.4,5.1-10.5,0.486,1.2-2.9,0.401,2.6-3.1,0.858,14.1
98,M. Ellis,81,33.8,13.8,3.4,4.7,1.8,0.5,2.5,2.1,2.8,0.5,5.4-12.6,0.427,1.1-3.5,0.31,2.0-2.5,0.786,14
99,O. Porter,75,30.3,11.6,5.2,1.6,1.4,0.4,0.9,2.2,3.9,1.3,4.5-9.6,0.472,1.3-3.6,0.367,1.3-1.7,0.754,13.8
100,T. Ariza,81,35.3,12.7,4.5,2.3,2,0.3,1.4,2.2,3.7,0.8,4.4-10.6,0.416,2.3-6.1,0.372,1.6-2.0,0.783,13.8
101,A. Bogut,70,20.7,5.4,7,2.3,0.5,1.6,1.2,3.2,5.3,1.7,2.5-4.0,0.627,0.0-0.0,1,0.3-0.7,0.48,13.7
102,T. Chandler,66,24.5,7.2,8.7,1,0.5,0.7,1.4,2.2,6.1,2.7,2.8-4.8,0.583,0.0-0.0,-,1.6-2.6,0.62,13.7
103,T. Gibson,73,26.5,8.6,6.9,1.5,0.6,1.1,1.1,2.5,4.1,2.8,3.6-6.9,0.525,0.0-0.0,-,1.4-2.0,0.692,13.7
104,E. Turner,81,28,10.5,4.9,4.4,1,0.3,2.1,1.7,4.3,0.6,4.2-9.3,0.456,0.2-1.0,0.241,1.8-2.2,0.827,13.7
105,E. Fournier,79,32.5,15.4,2.8,2.7,1.2,0,1.7,2.7,2.4,0.4,5.4-11.8,0.462,2.0-4.9,0.401,2.5-3.0,0.836,13.6
106,G. Hill,74,34.1,12.1,4,3.5,1.1,0.2,1.4,2,3.2,0.8,4.4-10.0,0.441,1.7-4.2,0.408,1.5-2.0,0.76,13.5
107,Marcus Morris,80,35.7,14.1,5.1,2.5,0.8,0.3,1.8,2.1,3.9,1.1,5.1-11.8,0.434,1.4-3.7,0.365,2.5-3.4,0.749,13.5
108,R. Covington,67,28.4,12.8,6.3,1.4,1.6,0.6,2.1,3.5,5.3,1,4.1-10.6,0.385,2.5-7.2,0.353,2.1-2.6,0.791,13.4
109,O. Casspi,69,27.3,11.8,5.9,1.4,0.8,0.2,1.4,2.2,5.1,0.8,4.3-9.0,0.482,1.6-4.0,0.409,1.5-2.3,0.648,13.3
110,A. Gordon,78,23.9,9.2,6.5,1.6,0.8,0.7,0.8,2,4.5,2,3.5-7.4,0.472,0.5-1.8,0.298,1.7-2.5,0.668,13.2
111,K. Bazemore,75,27.7,11.6,5,2.3,1.3,0.5,1.8,2.3,4.7,0.4,4.3-9.7,0.442,1.5-4.1,0.359,1.6-2.0,0.815,13.2
112,A. Johnson,79,22.8,7.3,6.4,1.7,0.7,1.1,1.2,2.7,4.1,2.3,3.2-5.4,0.585,0.1-0.5,0.233,0.9-1.5,0.57,13.1
113,D. Rose,66,31.8,16.4,3.4,4.7,0.7,0.2,2.7,1.3,2.7,0.7,6.8-15.9,0.427,0.7-2.3,0.293,2.2-2.7,0.793,13.1
114,C. Zeller,73,24.3,8.7,6.2,1,0.8,0.9,0.9,2.8,4.4,1.9,3.2-6.0,0.529,0.0-0.1,0.1,2.4-3.2,0.754,13.1
115,T. Parker,72,27.5,11.9,2.5,5.3,0.8,0.2,1.8,1.6,2.2,0.2,4.9-9.9,0.493,0.4-0.9,0.422,1.8-2.4,0.76,13.1
116,J. Clarkson,79,32.3,15.5,4,2.4,1.1,0.1,1.7,2.1,2.8,1.2,6.0-13.9,0.432,1.4-4.0,0.349,2.1-2.6,0.804,13
117,E. Payton,73,29.4,10.7,3.6,6.4,1.2,0.3,2.4,2.2,2.5,1.1,4.4-10.0,0.436,0.4-1.3,0.326,1.5-2.6,0.589,13
118,E. Davis,81,20.8,6.5,7.4,1.1,0.7,0.9,0.8,2.5,4.6,2.8,2.5-4.2,0.611,0.0-0.0,-,1.4-2.5,0.559,13
119,J. Noah,29,21.9,4.3,8.8,3.8,0.6,1,1.8,2.7,5.8,3,1.8-4.6,0.383,0.0-0.0,-,0.8-1.6,0.489,13
120,S. Adams,80,25.2,8,6.6,0.8,0.5,1.1,1.1,2.8,3.9,2.7,3.3-5.3,0.613,0.0-0.0,-,1.4-2.5,0.582,12.9
121,A. Bradley,76,33.4,15.2,2.9,2.1,1.5,0.3,1.4,2.2,2.3,0.6,6.0-13.4,0.448,1.9-5.3,0.362,1.3-1.6,0.78,12.8
122,N. Mirotic,66,24.9,11.8,5.5,1.5,0.9,0.7,1.5,2.3,4.6,0.9,3.8-9.2,0.407,2.0-5.2,0.39,2.2-2.7,0.807,12.8
123,L. Williams,67,28.5,15.3,2.5,2.5,0.9,0.3,1.6,1.6,2.1,0.5,4.2-10.4,0.407,1.6-4.8,0.343,5.3-6.3,0.83,12.8
124,M. Beasley,20,18.1,12.8,4.9,0.8,0.6,0.5,1.2,2,3.5,1.5,5.4-10.3,0.522,0.2-0.5,0.333,1.9-2.5,0.776,12.8
125,J. Redick,75,28,16.3,1.9,1.4,0.6,0.1,1.1,1.8,1.7,0.1,5.6-11.7,0.48,2.7-5.6,0.476,2.4-2.7,0.888,12.8
126,R. Hood,79,32.2,14.5,3.4,2.7,0.9,0.2,1.6,2.6,2.9,0.5,5.2-12.3,0.42,2.0-5.7,0.359,2.2-2.5,0.86,12.7
127,H. Barnes,66,30.9,11.7,4.9,1.8,0.6,0.2,0.9,2.1,3.8,1.2,4.5-9.6,0.466,1.2-3.2,0.383,1.5-2.0,0.761,12.7
128,K. Caldwell-Pope,76,36.7,14.5,3.7,1.8,1.4,0.2,1.4,2.2,2.8,0.9,5.3-12.6,0.42,1.5-4.8,0.31,2.4-3.0,0.811,12.5
129,E. Gordon,45,32.9,15.2,2.2,2.7,1,0.3,1.6,2.2,2,0.2,5.1-12.2,0.419,2.5-6.5,0.386,2.5-2.8,0.888,12.4
130,A. Aminu,82,28.5,10.2,6.1,1.7,0.9,0.6,1.5,2.1,4.9,1.2,3.6-8.8,0.416,1.5-4.3,0.361,1.4-1.9,0.737,12.4
131,J. Johnson,81,33.4,12.2,3.6,3.9,0.8,0,2,1.8,3,0.6,4.7-10.6,0.439,1.5-3.9,0.383,1.5-1.8,0.831,12.4
132,M. Turner,60,22.8,10.3,5.5,0.7,0.4,1.4,1.1,2.6,4.4,1.1,4.4-8.8,0.498,0.1-0.2,0.231,1.5-2.0,0.727,12.3
133,B. Biyombo,82,22,5.5,8,0.4,0.2,1.6,0.9,2.7,5.8,2.2,1.9-3.5,0.542,0.0-0.0,-,1.7-2.8,0.628,12.2
134,P. Beverley,71,28.7,9.9,3.5,3.4,1.3,0.4,1.3,3.3,2.5,1,3.6-8.4,0.434,1.7-4.4,0.4,0.8-1.2,0.682,12.1
135,Z. LaVine,82,28,14,2.8,3.1,0.8,0.2,1.9,2.4,2.5,0.3,5.3-11.7,0.451,1.5-3.9,0.389,2.0-2.5,0.793,12.1
136,J. Hamilton,11,27.6,11.4,5.6,2.3,0.7,0.3,1.5,2.2,4.5,1.1,4.5-10.5,0.422,1.2-4.1,0.289,1.3-1.9,0.667,12
137,A. Len,78,23.3,9,7.6,1.2,0.5,0.8,1.9,2.9,5.3,2.3,3.4-8.0,0.424,0.0-0.1,0.143,2.2-3.1,0.728,11.9
138,P. Tucker,82,31,8,6.2,2.2,1.3,0.2,1.4,2.5,4.2,2,2.9-7.1,0.411,0.8-2.5,0.33,1.3-1.7,0.746,11.9
139,M. Barnes,76,28.8,10,5.5,2.1,1,0.8,1.6,3.1,4.4,1.1,3.5-9.1,0.381,1.6-4.9,0.322,1.5-1.8,0.804,11.8
140,J. Hill,73,20.7,8.8,6.2,1.2,0.5,0.5,1.3,2.1,4,2.1,3.8-7.5,0.507,0.0-0.0,-,1.2-1.7,0.712,11.8
141,G. Harris,76,32.1,12.3,2.9,1.9,1.3,0.2,1.3,1.9,2.2,0.7,4.7-10.1,0.469,1.4-3.9,0.354,1.4-1.8,0.82,11.7
142,K. Bryant,66,28.2,17.6,3.7,2.8,0.9,0.2,2,1.7,3.1,0.6,6.0-16.8,0.358,2.0-7.1,0.285,3.5-4.3,0.826,11.7
143,Markieff Morris,64,25.5,12,5.5,1.9,0.9,0.5,2.1,2.9,4.4,1.1,4.8-11.2,0.425,0.7-2.4,0.303,1.7-2.3,0.735,11.7
144,M. Chalmers,61,22.5,10.3,2.6,3.8,1.4,0.2,1.8,3,2.2,0.4,3.0-7.3,0.41,0.8-2.4,0.309,3.6-4.3,0.832,11.5
145,C. Capela,77,19.1,7,6.4,0.6,0.8,1.2,0.8,2.5,3.9,2.5,3.0-5.2,0.582,0.0-0.0,-,1.0-2.7,0.379,11.4
146,A. Afflalo,71,33.3,12.8,3.7,2,0.4,0.1,1.2,2,3.4,0.3,5.0-11.3,0.443,1.3-3.4,0.382,1.5-1.8,0.84,11.4
147,D. Lee,55,16.4,7.8,5.5,1.5,0.4,0.5,1.2,2.1,3.7,1.8,3.2-6.1,0.531,0.0-0.0,-,1.3-1.7,0.763,11.3
148,A. Iguodala,65,26.6,7,4,3.4,1.1,0.3,1.2,1.6,3.2,0.8,2.7-5.7,0.478,0.8-2.4,0.351,0.8-1.3,0.614,11.2
149,E. Ilyasova,74,25.4,10.4,5.4,0.9,0.7,0.4,1,2.3,3.5,1.9,3.8-8.9,0.424,1.3-3.5,0.372,1.5-2.1,0.721,11.2
150,N. Hilario,57,19.2,9.2,4.5,1.7,0.9,0.5,1.3,2.7,3.6,0.9,3.7-6.7,0.544,0.0-0.1,-,1.9-3.2,0.578,11.1
151,D. Russell,80,28.2,13.2,3.4,3.3,1.2,0.2,2.5,1.8,2.8,0.6,4.9-11.9,0.41,1.6-4.6,0.354,1.8-2.4,0.737,11.1
152,J. Lin,78,26.3,11.7,3.2,3,0.8,0.5,1.9,2.1,2.7,0.5,3.8-9.3,0.412,1.0-2.9,0.336,3.1-3.7,0.815,11.1
153,J. Grant,77,26.8,9.7,4.7,1.7,0.7,1.6,1.4,2.8,3.4,1.3,3.3-7.8,0.419,0.5-1.9,0.24,2.8-4.2,0.658,11.1
154,J. Calderon,72,28,7.6,3.2,4.1,0.9,0.1,1.2,1.9,2.9,0.3,2.9-6.3,0.459,1.2-2.8,0.414,0.6-0.7,0.875,11.1
155,J. Green,80,28.2,11.7,4.2,1.7,0.7,0.5,1.2,2.1,3.2,0.9,4.4-10.3,0.43,0.8-2.7,0.315,2.1-2.8,0.745,11.1
156,W. Cauley-Stein,66,21.4,7,5.3,0.6,0.7,1,0.7,2.2,3.3,2,2.9-5.1,0.563,0.0-0.0,-,1.2-1.9,0.648,11
