"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"37",37,37,"1/7/16","","UTA","W",103,94,39,75,0.52,7,23,0.304,18,26,0.692,11,41,15,11,3,16,16,10.9666666666667,38,78,0.487,7,28,0.25,11,17,0.647,10,35,25,9,5,19,17,9.53
"38",38,38,"1/10/16","","IND","W",107,103,39,89,0.438,14,38,0.368,15,23,0.652,10,49,24,11,3,22,21,12.7555555555556,43,90,0.478,9,31,0.29,8,10,0.8,5,39,33,12,5,18,21,11.9
"39",39,39,"1/12/16","@","MEM","W",107,91,33,77,0.429,18,35,0.514,23,27,0.852,18,42,21,10,4,14,19,12.7555555555556,33,72,0.458,7,18,0.389,18,24,0.75,13,31,22,9,3,17,24,12.0125
"40",40,40,"1/13/16","","MIN","W",107,104,37,75,0.493,7,30,0.233,26,38,0.684,8,39,19,11,3,16,19,12.1777777777778,36,78,0.462,8,17,0.471,24,30,0.8,14,43,25,11,1,20,27,11.54
"41",41,41,"1/15/16","","CLE","L",77,91,26,74,0.351,6,25,0.24,19,29,0.655,10,40,15,10,6,18,20,12.7555555555556,34,87,0.391,8,35,0.229,15,23,0.652,17,49,19,10,6,14,24,13.3888888888889
"42",42,42,"1/17/16","@","LAL","W",112,95,44,91,0.484,6,21,0.286,18,24,0.75,11,51,21,10,5,13,19,11.4,37,82,0.451,6,19,0.316,15,19,0.789,3,36,25,8,7,14,16,10.4555555555556
"43",43,43,"1/18/16","@","LAC","L",132,140,44,88,0.5,11,32,0.344,33,52,0.635,16,52,31,8,5,14,28,12.17,47,91,0.516,22,37,0.595,24,33,0.727,9,41,28,10,6,12,30,11.8444444444444
"44",44,44,"1/20/16","","DET","L",114,123,43,95,0.453,12,24,0.5,16,18,0.889,11,48,21,7,3,13,41,11.1375,38,80,0.475,12,30,0.4,35,59,0.593,14,52,23,8,7,10,17,11.8333333333333
"45",45,45,"1/22/16","","MIL","W",102,98,38,94,0.404,15,44,0.341,11,16,0.688,15,42,27,10,10,11,21,11.0888888888889,39,85,0.459,3,14,0.214,17,22,0.773,14,48,30,7,10,15,17,13.95
"46",46,46,"1/24/16","","DAL","W",115,104,43,89,0.483,15,44,0.341,14,21,0.667,9,40,27,9,7,7,21,11.5444444444444,36,79,0.456,15,30,0.5,17,22,0.773,8,36,17,4,4,14,20,11.2777777777778
"47",47,47,"1/25/16","@","NOP","W",112,111,38,80,0.475,19,40,0.475,17,21,0.81,7,38,22,7,5,13,20,11.8444444444444,42,91,0.462,13,29,0.448,14,25,0.56,16,50,23,8,4,12,16,13.3428571428571
"48",48,48,"1/27/16","@","SAS","L",99,130,28,73,0.384,8,30,0.267,35,52,0.673,12,40,14,7,11,15,22,12.0363636363636,50,90,0.556,12,23,0.522,18,21,0.857,12,49,34,7,3,13,28,12.7727272727273
"49",49,49,"1/29/16","@","OKC","L",108,116,36,95,0.379,9,39,0.231,27,43,0.628,11,40,23,14,7,10,21,13.2333333333333,41,86,0.477,8,19,0.421,26,30,0.867,11,57,23,6,7,18,29,14.0111111111111
"50",50,50,"1/30/16","","WAS","L",122,123,41,86,0.477,17,35,0.486,23,33,0.697,10,37,24,8,3,10,23,12.8,45,86,0.523,11,32,0.344,22,30,0.733,7,45,30,6,5,12,25,12.12
"51",51,51,"2/2/16","","MIA","W",115,102,44,84,0.524,16,35,0.457,11,16,0.688,3,34,30,9,6,11,19,11.1666666666667,38,85,0.447,6,17,0.353,20,27,0.741,13,51,26,5,3,17,18,12.075
"52",52,52,"2/4/16","@","PHO","W",111,105,37,86,0.43,15,42,0.357,22,32,0.688,18,49,24,16,5,16,23,12.8,32,83,0.386,11,29,0.379,30,32,0.938,18,54,22,9,1,24,26,9.27777777777778
"53",53,53,"2/6/16","","POR","L",79,96,25,77,0.325,7,36,0.194,22,30,0.733,12,43,13,13,4,23,21,12.4,35,87,0.402,11,35,0.314,15,23,0.652,20,54,21,15,6,21,21,12.4111111111111
"54",54,54,"2/9/16","@","GSW","L",110,123,37,87,0.425,13,33,0.394,23,35,0.657,13,43,24,8,4,12,22,13.4,44,94,0.468,12,34,0.353,23,26,0.885,14,49,28,5,6,12,26,14.7777777777778
"55",55,55,"2/10/16","@","POR","L",103,116,37,77,0.481,11,34,0.324,18,34,0.529,8,40,23,6,3,20,22,13.2,41,89,0.461,8,28,0.286,26,34,0.765,16,49,21,11,2,13,27,12.7333333333333
"56",56,56,"2/19/16","@","PHO","W",116,100,37,78,0.474,7,24,0.292,35,56,0.625,13,51,20,16,4,20,32,11.0909090909091,30,82,0.366,11,35,0.314,29,35,0.829,9,40,23,7,6,20,33,7.92222222222222
"57",57,57,"2/23/16","@","UTA","L",114,117,36,87,0.414,11,34,0.324,31,41,0.756,11,35,17,15,4,14,28,12.44,38,74,0.514,10,24,0.417,31,38,0.816,8,41,22,11,4,21,29,11.7222222222222
"58",58,58,"2/25/16","@","POR","W",119,105,44,82,0.537,10,29,0.345,21,35,0.6,12,46,26,14,5,16,25,12.6625,37,80,0.463,13,35,0.371,18,22,0.818,11,40,22,4,3,21,30,12.03
"59",59,59,"2/27/16","","SAS","L",94,104,35,84,0.417,8,25,0.32,16,22,0.727,9,39,19,5,4,14,27,13.8428571428571,37,76,0.487,8,19,0.421,22,28,0.786,7,43,24,4,4,13,21,14.6
"60",60,60,"2/29/16","@","MIL","L",121,128,41,87,0.471,15,36,0.417,24,35,0.686,16,41,30,12,1,16,24,12.4555555555556,48,81,0.593,8,15,0.533,24,33,0.727,10,42,30,12,4,17,24,13.5625
"61",61,61,"3/2/16","","NOP","W",100,95,36,81,0.444,3,35,0.086,25,38,0.658,8,51,20,15,9,21,14,12.7,36,90,0.4,14,37,0.378,9,13,0.692,6,43,24,10,3,22,28,11.9571428571429
"62",62,62,"3/5/16","@","CHI","L",100,108,35,87,0.402,9,35,0.257,21,30,0.7,11,40,22,17,3,18,27,11.87,36,79,0.456,9,21,0.429,27,34,0.794,12,53,28,8,4,25,21,13.4625
"63",63,63,"3/6/16","@","TOR","W",113,107,38,78,0.487,13,29,0.448,24,37,0.649,8,37,27,9,4,10,21,12.95,37,77,0.481,12,33,0.364,21,27,0.778,7,42,27,8,6,15,24,13.4777777777778
"64",64,64,"3/9/16","@","PHI","W",118,104,38,86,0.442,11,33,0.333,31,41,0.756,17,45,22,14,5,13,24,12.5,35,86,0.407,12,33,0.364,22,32,0.688,16,42,23,8,5,18,28,11.2125
"65",65,65,"3/11/16","@","BOS","W",102,98,40,88,0.455,5,26,0.192,17,25,0.68,15,50,19,8,3,17,21,11.88,34,91,0.374,8,31,0.258,22,28,0.786,14,45,24,14,3,14,17,11.47
"66",66,66,"3/12/16","@","CHO","L",109,125,43,93,0.462,5,26,0.192,18,28,0.643,14,40,21,8,5,9,20,11.72,48,88,0.545,15,31,0.484,14,16,0.875,10,44,28,6,5,11,25,12.7666666666667
"67",67,67,"3/14/16","","MEM","W",130,81,46,85,0.541,16,33,0.485,22,34,0.647,8,53,29,13,14,13,22,10.4416666666667,30,101,0.297,4,17,0.235,17,28,0.607,28,58,14,7,0,19,25,7.25555555555556
"68",68,68,"3/16/16","","LAC","L",106,122,40,82,0.488,9,25,0.36,17,24,0.708,13,39,23,5,3,15,25,12.925,43,76,0.566,12,30,0.4,24,32,0.75,7,33,31,9,7,10,20,12.5111111111111
"69",69,69,"3/18/16","","MIN","W",116,111,48,85,0.565,11,29,0.379,9,14,0.643,13,42,31,9,7,17,19,13.7125,43,85,0.506,6,16,0.375,19,24,0.792,11,35,30,14,4,12,14,13.3125
"70",70,70,"3/19/16","@","ATL","L",97,109,33,84,0.393,5,23,0.217,26,31,0.839,15,51,15,11,3,17,17,13.125,44,88,0.5,14,38,0.368,7,12,0.583,9,40,32,12,6,16,20,11.66
"71",71,71,"3/22/16","@","OKC","L",107,111,40,92,0.435,13,37,0.351,14,17,0.824,13,47,26,9,3,15,27,13.125,41,91,0.451,8,35,0.229,21,29,0.724,13,46,22,10,7,13,17,14.3333333333333
"72",72,72,"3/23/16","","UTA","L",87,89,33,74,0.446,9,23,0.391,12,22,0.545,4,32,22,13,9,14,21,12.9333333333333,31,77,0.403,11,29,0.379,16,20,0.8,13,48,22,8,5,22,19,12.2
"73",73,73,"3/25/16","","TOR","W",112,109,42,81,0.519,12,22,0.545,16,35,0.457,13,48,25,3,11,16,23,12.9333333333333,39,94,0.415,13,31,0.419,18,26,0.692,15,45,23,9,5,10,24,13.2875
"74",74,74,"3/27/16","@","IND","L",101,104,38,85,0.447,7,33,0.212,18,27,0.667,11,44,17,7,3,14,18,12.6111111111111,41,87,0.471,9,26,0.346,13,20,0.65,15,50,25,9,6,13,23,11.64
"75",75,75,"3/29/16","@","CLE","W",106,100,38,79,0.481,9,25,0.36,21,42,0.5,14,55,23,7,5,14,24,13.4375,31,86,0.36,14,40,0.35,24,28,0.857,10,38,21,5,5,11,31,11.4875
"76",76,76,"3/31/16","","CHI","L",100,103,36,90,0.4,9,25,0.36,19,22,0.864,13,45,19,5,6,9,19,12.9333333333333,37,77,0.481,11,24,0.458,18,22,0.818,5,42,28,5,4,15,20,11.31
"77",77,77,"4/3/16","","OKC","W",118,110,41,102,0.402,13,42,0.31,23,26,0.885,22,45,24,11,5,9,24,12.5875,38,82,0.463,7,27,0.259,27,32,0.844,15,50,21,5,5,19,21,14.1555555555556
"78",78,78,"4/6/16","@","DAL","L",86,88,34,78,0.436,6,20,0.3,12,18,0.667,12,41,19,6,4,15,17,12.5333333333333,33,80,0.413,10,33,0.303,12,14,0.857,13,40,19,9,4,12,20,10.6666666666667
"79",79,79,"4/7/16","","PHO","L",115,124,42,74,0.568,14,33,0.424,17,28,0.607,5,26,26,13,12,18,24,13.3777777777778,44,94,0.468,12,31,0.387,24,29,0.828,20,47,31,11,2,19,24,9.63333333333333
"80",80,80,"4/10/16","","LAL","W",130,110,50,98,0.51,17,41,0.415,13,18,0.722,16,48,30,11,5,13,15,13.45,41,83,0.494,12,28,0.429,16,19,0.842,7,40,25,10,3,18,15,10.3625
"81",81,81,"4/11/16","@","MIN","W",129,105,48,86,0.558,15,30,0.5,18,26,0.692,8,43,28,12,5,17,23,12.7,38,83,0.458,5,21,0.238,24,33,0.727,10,40,25,12,3,13,20,12.6888888888889
"82",82,82,"4/13/16","","SAC","W",116,81,47,97,0.485,10,35,0.286,12,19,0.632,14,55,33,11,7,14,15,11.7727272727273,32,96,0.333,11,37,0.297,6,13,0.462,15,49,21,11,4,17,17,10.6571428571429
