"","Date","Start (ET)","Visitor/Neutral","PTS","Home/Neutral","PTS.1"
"78","Fri, Nov 4, 2016","9:00 pm","San Antonio Spurs","100","Utah Jazz","86"
"79","Fri, Nov 4, 2016","7:00 pm","Atlanta Hawks","92","Washington Wizards","95"
"80","Sat, Nov 5, 2016","7:30 pm","Houston Rockets","97","Atlanta Hawks","112"
"81","Sat, Nov 5, 2016","7:00 pm","Denver Nuggets","86","Detroit Pistons","103"
"82","Sat, Nov 5, 2016","7:00 pm","Chicago Bulls","94","Indiana Pacers","111"
"83","Sat, Nov 5, 2016","8:00 pm","Sacramento Kings","91","Milwaukee Bucks","117"
"84","Sat, Nov 5, 2016","6:00 pm","Minnesota Timberwolves","92","Oklahoma City Thunder","112"
"85","Sat, Nov 5, 2016","7:00 pm","Washington Wizards","86","Orlando Magic","88"
"86","Sat, Nov 5, 2016","7:00 pm","Cleveland Cavaliers","102","Philadelphia 76ers","101"
"87","Sat, Nov 5, 2016","8:30 pm","Los Angeles Clippers","116","San Antonio Spurs","92"
"88","Sun, Nov 6, 2016","7:30 pm","Denver Nuggets","123","Boston Celtics","107"
"89","Sun, Nov 6, 2016","7:00 pm","Milwaukee Bucks","75","Dallas Mavericks","86"
"90","Sun, Nov 6, 2016","9:30 pm","Phoenix Suns","108","Los Angeles Lakers","119"
"91","Sun, Nov 6, 2016","3:30 pm","Portland Trail Blazers","100","Memphis Grizzlies","94"
"92","Sun, Nov 6, 2016","12:00 pm","Utah Jazz","114","New York Knicks","109"
"93","Sun, Nov 6, 2016","6:00 pm","Sacramento Kings","96","Toronto Raptors","91"
"94","Mon, Nov 7, 2016","8:00 pm","Orlando Magic","80","Chicago Bulls","112"
"95","Mon, Nov 7, 2016","7:00 pm","Indiana Pacers","100","Charlotte Hornets","122"
"96","Mon, Nov 7, 2016","10:30 pm","New Orleans Pelicans","106","Golden State Warriors","116"
"97","Mon, Nov 7, 2016","10:30 pm","Detroit Pistons","82","Los Angeles Clippers","114"
"98","Mon, Nov 7, 2016","8:00 pm","Miami Heat","85","Oklahoma City Thunder","97"
"99","Mon, Nov 7, 2016","7:00 pm","Utah Jazz","109","Philadelphia 76ers","84"
"100","Mon, Nov 7, 2016","7:00 pm","Houston Rockets","114","Washington Wizards","106"
"101","Tue, Nov 8, 2016","7:30 pm","Minnesota Timberwolves","110","Brooklyn Nets","119"
"102","Tue, Nov 8, 2016","7:00 pm","Atlanta Hawks","110","Cleveland Cavaliers","106"
"103","Tue, Nov 8, 2016","10:30 pm","Dallas Mavericks","109","Los Angeles Lakers","97"
"104","Tue, Nov 8, 2016","8:00 pm","Denver Nuggets","107","Memphis Grizzlies","108"
"105","Tue, Nov 8, 2016","10:00 pm","Phoenix Suns","121","Portland Trail Blazers","124"
"106","Tue, Nov 8, 2016","10:30 pm","New Orleans Pelicans","94","Sacramento Kings","102"
"107","Wed, Nov 9, 2016","7:30 pm","Chicago Bulls","107","Atlanta Hawks","115"
"108","Wed, Nov 9, 2016","7:00 pm","Utah Jazz","98","Charlotte Hornets","104"
"109","Wed, Nov 9, 2016","10:30 pm","Dallas Mavericks","95","Golden State Warriors","116"
"110","Wed, Nov 9, 2016","7:00 pm","Philadelphia 76ers","115","Indiana Pacers","122"
"111","Wed, Nov 9, 2016","10:30 pm","Portland Trail Blazers","80","Los Angeles Clippers","111"
"112","Wed, Nov 9, 2016","7:00 pm","Brooklyn Nets","96","New York Knicks","110"
"113","Wed, Nov 9, 2016","8:00 pm","Toronto Raptors","112","Oklahoma City Thunder","102"
"114","Wed, Nov 9, 2016","7:00 pm","Minnesota Timberwolves","123","Orlando Magic","107"
"115","Wed, Nov 9, 2016","9:00 pm","Detroit Pistons","100","Phoenix Suns","107"
"116","Wed, Nov 9, 2016","9:30 pm","Houston Rockets","101","San Antonio Spurs","99"
"117","Wed, Nov 9, 2016","7:00 pm","Boston Celtics","93","Washington Wizards","118"
"118","Thu, Nov 10, 2016","9:00 pm","Golden State Warriors","125","Denver Nuggets","101"
"119","Thu, Nov 10, 2016","8:00 pm","Chicago Bulls","98","Miami Heat","95"
"120","Thu, Nov 10, 2016","8:00 pm","New Orleans Pelicans","112","Milwaukee Bucks","106"
"121","Thu, Nov 10, 2016","10:30 pm","Los Angeles Lakers","101","Sacramento Kings","91"
"122","Fri, Nov 11, 2016","7:30 pm","New York Knicks","87","Boston Celtics","115"
"123","Fri, Nov 11, 2016","7:00 pm","Toronto Raptors","113","Charlotte Hornets","111"
"124","Fri, Nov 11, 2016","8:00 pm","Los Angeles Clippers","110","Oklahoma City Thunder","108"
"125","Fri, Nov 11, 2016","7:00 pm","Utah Jazz","87","Orlando Magic","74"
"126","Fri, Nov 11, 2016","7:00 pm","Indiana Pacers","105","Philadelphia 76ers","109"
"127","Fri, Nov 11, 2016","10:00 pm","Sacramento Kings","120","Portland Trail Blazers","122"
"128","Fri, Nov 11, 2016","8:30 pm","Detroit Pistons","86","San Antonio Spurs","96"
"129","Fri, Nov 11, 2016","7:00 pm","Cleveland Cavaliers","105","Washington Wizards","94"
"130","Sat, Nov 12, 2016","7:30 pm","Philadelphia 76ers","96","Atlanta Hawks","117"
"131","Sat, Nov 12, 2016","8:00 pm","Washington Wizards","95","Chicago Bulls","106"
"132","Sat, Nov 12, 2016","9:00 pm","Detroit Pistons","106","Denver Nuggets","95"
"133","Sat, Nov 12, 2016","8:00 pm","San Antonio Spurs","106","Houston Rockets","100"
"134","Sat, Nov 12, 2016","7:00 pm","Boston Celtics","105","Indiana Pacers","99"
"135","Sat, Nov 12, 2016","8:00 pm","Utah Jazz","102","Miami Heat","91"
"136","Sat, Nov 12, 2016","8:30 pm","Memphis Grizzlies","96","Milwaukee Bucks","106"
"137","Sat, Nov 12, 2016","8:00 pm","Los Angeles Clippers","119","Minnesota Timberwolves","105"
"138","Sat, Nov 12, 2016","7:00 pm","Los Angeles Lakers","126","New Orleans Pelicans","99"
"139","Sat, Nov 12, 2016","9:00 pm","Brooklyn Nets","122","Phoenix Suns","104"
"140","Sat, Nov 12, 2016","7:30 pm","New York Knicks","107","Toronto Raptors","118"
"141","Sun, Nov 13, 2016","3:30 pm","Charlotte Hornets","93","Cleveland Cavaliers","100"
"142","Sun, Nov 13, 2016","8:00 pm","Phoenix Suns","120","Golden State Warriors","133"
"143","Sun, Nov 13, 2016","7:00 pm","Los Angeles Lakers","99","Minnesota Timberwolves","125"
"144","Sun, Nov 13, 2016","7:00 pm","Orlando Magic","119","Oklahoma City Thunder","117"
"145","Sun, Nov 13, 2016","9:00 pm","Denver Nuggets","105","Portland Trail Blazers","112"
"146","Mon, Nov 14, 2016","7:30 pm","Oklahoma City Thunder","88","Detroit Pistons","104"
"147","Mon, Nov 14, 2016","8:00 pm","Philadelphia 76ers","88","Houston Rockets","115"
"148","Mon, Nov 14, 2016","7:00 pm","Orlando Magic","69","Indiana Pacers","88"
"149","Mon, Nov 14, 2016","10:30 pm","Brooklyn Nets","95","Los Angeles Clippers","127"
"150","Mon, Nov 14, 2016","8:00 pm","Boston Celtics","105","New Orleans Pelicans","106"
"151","Mon, Nov 14, 2016","7:30 pm","Dallas Mavericks","77","New York Knicks","93"
"152","Mon, Nov 14, 2016","8:30 pm","Miami Heat","90","San Antonio Spurs","94"
"153","Mon, Nov 14, 2016","9:00 pm","Memphis Grizzlies","102","Utah Jazz","96"
"154","Tue, Nov 15, 2016","7:00 pm","Toronto Raptors","117","Cleveland Cavaliers","121"
"155","Tue, Nov 15, 2016","10:30 pm","Brooklyn Nets","118","Los Angeles Lakers","125"
"156","Tue, Nov 15, 2016","7:30 pm","Atlanta Hawks","93","Miami Heat","90"
"157","Tue, Nov 15, 2016","8:00 pm","Charlotte Hornets","115","Minnesota Timberwolves","108"
"158","Tue, Nov 15, 2016","10:00 pm","Chicago Bulls","113","Portland Trail Blazers","88"
"159","Wed, Nov 16, 2016","7:30 pm","Milwaukee Bucks","100","Atlanta Hawks","107"
"160","Wed, Nov 16, 2016","7:30 pm","Dallas Mavericks","83","Boston Celtics","90"
"161","Wed, Nov 16, 2016","9:00 pm","Phoenix Suns","104","Denver Nuggets","120"
"162","Wed, Nov 16, 2016","7:00 pm","Cleveland Cavaliers","93","Indiana Pacers","103"
"163","Wed, Nov 16, 2016","10:30 pm","Memphis Grizzlies","111","Los Angeles Clippers","107"
"164","Wed, Nov 16, 2016","7:30 pm","Detroit Pistons","102","New York Knicks","105"
"165","Wed, Nov 16, 2016","8:00 pm","Houston Rockets","103","Oklahoma City Thunder","105"
"166","Wed, Nov 16, 2016","7:00 pm","New Orleans Pelicans","82","Orlando Magic","89"
"167","Wed, Nov 16, 2016","7:00 pm","Washington Wizards","102","Philadelphia 76ers","109"
"168","Wed, Nov 16, 2016","10:30 pm","San Antonio Spurs","110","Sacramento Kings","105"
"169","Wed, Nov 16, 2016","8:00 pm","Golden State Warriors","127","Toronto Raptors","121"
"170","Thu, Nov 17, 2016","8:00 pm","Portland Trail Blazers","109","Houston Rockets","126"
"171","Thu, Nov 17, 2016","7:30 pm","Milwaukee Bucks","73","Miami Heat","96"
"172","Thu, Nov 17, 2016","8:00 pm","Philadelphia 76ers","86","Minnesota Timberwolves","110"
"173","Thu, Nov 17, 2016","10:30 pm","Chicago Bulls","85","Utah Jazz","77"
"174","Thu, Nov 17, 2016","7:00 pm","New York Knicks","112","Washington Wizards","119"
"175","Fri, Nov 18, 2016","8:00 pm","Golden State Warriors","104","Boston Celtics","88"
"176","Fri, Nov 18, 2016","7:00 pm","Atlanta Hawks","96","Charlotte Hornets","100"
"177","Fri, Nov 18, 2016","7:30 pm","Detroit Pistons","81","Cleveland Cavaliers","104"
"178","Fri, Nov 18, 2016","8:30 pm","Memphis Grizzlies","80","Dallas Mavericks","64"
"179","Fri, Nov 18, 2016","9:00 pm","Toronto Raptors","113","Denver Nuggets","111"
"180","Fri, Nov 18, 2016","7:00 pm","Phoenix Suns","116","Indiana Pacers","96"
"181","Fri, Nov 18, 2016","10:30 pm","San Antonio Spurs","116","Los Angeles Lakers","107"
"182","Fri, Nov 18, 2016","8:00 pm","Portland Trail Blazers","101","New Orleans Pelicans","113"
"183","Fri, Nov 18, 2016","8:00 pm","Brooklyn Nets","105","Oklahoma City Thunder","124"
"184","Fri, Nov 18, 2016","10:30 pm","Los Angeles Clippers","121","Sacramento Kings","115"
"185","Sat, Nov 19, 2016","7:00 pm","Boston Celtics","94","Detroit Pistons","92"
"186","Sat, Nov 19, 2016","5:00 pm","Utah Jazz","102","Houston Rockets","111"
"187","Sat, Nov 19, 2016","10:30 pm","Chicago Bulls","95","Los Angeles Clippers","102"
"188","Sat, Nov 19, 2016","8:00 pm","Minnesota Timberwolves","71","Memphis Grizzlies","93"
"189","Sat, Nov 19, 2016","8:30 pm","Golden State Warriors","124","Milwaukee Bucks","121"
"190","Sat, Nov 19, 2016","7:00 pm","Charlotte Hornets","116","New Orleans Pelicans","121"
"191","Sat, Nov 19, 2016","7:00 pm","Dallas Mavericks","87","Orlando Magic","95"
"192","Sat, Nov 19, 2016","7:30 pm","Phoenix Suns","105","Philadelphia 76ers","120"
"193","Sat, Nov 19, 2016","7:00 pm","Miami Heat","114","Washington Wizards","111"
"194","Sun, Nov 20, 2016","3:30 pm","Portland Trail Blazers","129","Brooklyn Nets","109"
"195","Sun, Nov 20, 2016","9:00 pm","Utah Jazz","91","Denver Nuggets","105"
"196","Sun, Nov 20, 2016","9:30 pm","Chicago Bulls","118","Los Angeles Lakers","110"
"197","Sun, Nov 20, 2016","12:00 pm","Atlanta Hawks","94","New York Knicks","104"
"198","Sun, Nov 20, 2016","7:00 pm","Indiana Pacers","115","Oklahoma City Thunder","111"
"199","Sun, Nov 20, 2016","9:00 pm","Toronto Raptors","99","Sacramento Kings","102"
"200","Mon, Nov 21, 2016","7:00 pm","Memphis Grizzlies","105","Charlotte Hornets","90"
"201","Mon, Nov 21, 2016","7:30 pm","Houston Rockets","99","Detroit Pistons","96"
"202","Mon, Nov 21, 2016","7:00 pm","Golden State Warriors","120","Indiana Pacers","83"
"203","Mon, Nov 21, 2016","10:30 pm","Toronto Raptors","115","Los Angeles Clippers","123"
"204","Mon, Nov 21, 2016","8:00 pm","Orlando Magic","89","Milwaukee Bucks","93"
"205","Mon, Nov 21, 2016","8:00 pm","Boston Celtics","99","Minnesota Timberwolves","93"
"206","Mon, Nov 21, 2016","7:00 pm","Miami Heat","94","Philadelphia 76ers","101"
"207","Mon, Nov 21, 2016","8:30 pm","Dallas Mavericks","91","San Antonio Spurs","96"
"208","Mon, Nov 21, 2016","7:00 pm","Phoenix Suns","101","Washington Wizards","106"
"209","Tue, Nov 22, 2016","7:30 pm","New Orleans Pelicans","112","Atlanta Hawks","94"
"210","Tue, Nov 22, 2016","9:00 pm","Chicago Bulls","107","Denver Nuggets","110"
"211","Tue, Nov 22, 2016","10:30 pm","Oklahoma City Thunder","109","Los Angeles Lakers","111"
"212","Tue, Nov 22, 2016","7:30 pm","Portland Trail Blazers","103","New York Knicks","107"
"213","Wed, Nov 23, 2016","7:30 pm","Boston Celtics","111","Brooklyn Nets","92"
"214","Wed, Nov 23, 2016","7:00 pm","San Antonio Spurs","119","Charlotte Hornets","114"
"215","Wed, Nov 23, 2016","7:00 pm","Portland Trail Blazers","125","Cleveland Cavaliers","137"
"216","Wed, Nov 23, 2016","8:30 pm","Los Angeles Clippers","124","Dallas Mavericks","104"
"217","Wed, Nov 23, 2016","7:30 pm","Miami Heat","84","Detroit Pistons","107"
"218","Wed, Nov 23, 2016","10:30 pm","Los Angeles Lakers","106","Golden State Warriors","149"
"219","Wed, Nov 23, 2016","8:00 pm","Toronto Raptors","115","Houston Rockets","102"
"220","Wed, Nov 23, 2016","7:00 pm","Atlanta Hawks","96","Indiana Pacers","85"
"221","Wed, Nov 23, 2016","9:30 pm","Minnesota Timberwolves","96","New Orleans Pelicans","117"
"222","Wed, Nov 23, 2016","7:00 pm","Phoenix Suns","92","Orlando Magic","87"
"223","Wed, Nov 23, 2016","7:00 pm","Memphis Grizzlies","104","Philadelphia 76ers","99"
"224","Wed, Nov 23, 2016","10:30 pm","Oklahoma City Thunder","101","Sacramento Kings","116"
"225","Wed, Nov 23, 2016","9:00 pm","Denver Nuggets","83","Utah Jazz","108"
"226","Fri, Nov 25, 2016","1:00 pm","San Antonio Spurs","109","Boston Celtics","103"
"227","Fri, Nov 25, 2016","7:30 pm","Dallas Mavericks","90","Cleveland Cavaliers","128"
"228","Fri, Nov 25, 2016","9:00 pm","Oklahoma City Thunder","132","Denver Nuggets","129"
"229","Fri, Nov 25, 2016","7:30 pm","Los Angeles Clippers","97","Detroit Pistons","108"
"230","Fri, Nov 25, 2016","8:00 pm","Brooklyn Nets","97","Indiana Pacers","118"
"231","Fri, Nov 25, 2016","10:30 pm","Golden State Warriors","109","Los Angeles Lakers","85"
"232","Fri, Nov 25, 2016","8:00 pm","Miami Heat","90","Memphis Grizzlies","81"
"233","Fri, Nov 25, 2016","8:00 pm","Toronto Raptors","105","Milwaukee Bucks","99"
"234","Fri, Nov 25, 2016","7:30 pm","Charlotte Hornets","111","New York Knicks","113"
"235","Fri, Nov 25, 2016","7:00 pm","Washington Wizards","94","Orlando Magic","91"
"236","Fri, Nov 25, 2016","7:30 pm","Chicago Bulls","105","Philadelphia 76ers","89"
"237","Fri, Nov 25, 2016","9:00 pm","Minnesota Timberwolves","98","Phoenix Suns","85"
"238","Fri, Nov 25, 2016","10:00 pm","New Orleans Pelicans","104","Portland Trail Blazers","119"
"239","Fri, Nov 25, 2016","10:30 pm","Houston Rockets","117","Sacramento Kings","104"
"240","Fri, Nov 25, 2016","8:00 pm","Atlanta Hawks","68","Utah Jazz","95"
"241","Sat, Nov 26, 2016","7:00 pm","New York Knicks","102","Charlotte Hornets","107"
"242","Sat, Nov 26, 2016","10:30 pm","Minnesota Timberwolves","102","Golden State Warriors","115"
"243","Sat, Nov 26, 2016","8:00 pm","Memphis Grizzlies","110","Miami Heat","107"
"244","Sat, Nov 26, 2016","8:00 pm","Detroit Pistons","88","Oklahoma City Thunder","106"
"245","Sat, Nov 26, 2016","7:00 pm","San Antonio Spurs","112","Washington Wizards","100"
"246","Sun, Nov 27, 2016","6:00 pm","Sacramento Kings","122","Brooklyn Nets","105"
"247","Sun, Nov 27, 2016","7:00 pm","New Orleans Pelicans","81","Dallas Mavericks","91"
"248","Sun, Nov 27, 2016","6:00 pm","Los Angeles Clippers","70","Indiana Pacers","91"
"249","Sun, Nov 27, 2016","9:30 pm","Atlanta Hawks","94","Los Angeles Lakers","109"
"250","Sun, Nov 27, 2016","6:00 pm","Milwaukee Bucks","104","Orlando Magic","96"
"251","Sun, Nov 27, 2016","1:00 pm","Cleveland Cavaliers","112","Philadelphia 76ers","108"
"252","Sun, Nov 27, 2016","3:30 pm","Denver Nuggets","120","Phoenix Suns","114"
"253","Sun, Nov 27, 2016","9:00 pm","Houston Rockets","130","Portland Trail Blazers","114"
"254","Mon, Nov 28, 2016","10:30 pm","Atlanta Hawks","100","Golden State Warriors","105"
"255","Mon, Nov 28, 2016","8:00 pm","Charlotte Hornets","104","Memphis Grizzlies","85"
"256","Mon, Nov 28, 2016","7:30 pm","Boston Celtics","112","Miami Heat","104"
"257","Mon, Nov 28, 2016","8:00 pm","Utah Jazz","112","Minnesota Timberwolves","103"
"258","Mon, Nov 28, 2016","7:30 pm","Oklahoma City Thunder","112","New York Knicks","103"
"259","Mon, Nov 28, 2016","7:30 pm","Philadelphia 76ers","95","Toronto Raptors","122"
"260","Mon, Nov 28, 2016","7:00 pm","Sacramento Kings","95","Washington Wizards","101"
"261","Tue, Nov 29, 2016","7:30 pm","Los Angeles Clippers","122","Brooklyn Nets","127"
"262","Tue, Nov 29, 2016","7:00 pm","Detroit Pistons","112","Charlotte Hornets","89"
"263","Tue, Nov 29, 2016","8:00 pm","Cleveland Cavaliers","101","Milwaukee Bucks","118"
"264","Tue, Nov 29, 2016","8:00 pm","Los Angeles Lakers","88","New Orleans Pelicans","105"
"265","Tue, Nov 29, 2016","8:30 pm","Orlando Magic","95","San Antonio Spurs","83"
"266","Tue, Nov 29, 2016","9:00 pm","Houston Rockets","101","Utah Jazz","120"
"267","Wed, Nov 30, 2016","7:30 pm","Detroit Pistons","121","Boston Celtics","114"
"268","Wed, Nov 30, 2016","8:00 pm","Los Angeles Lakers","96","Chicago Bulls","90"
"269","Wed, Nov 30, 2016","8:30 pm","San Antonio Spurs","94","Dallas Mavericks","87"
"270","Wed, Nov 30, 2016","9:00 pm","Miami Heat","106","Denver Nuggets","98"
"271","Wed, Nov 30, 2016","8:00 pm","New York Knicks","106","Minnesota Timberwolves","104"
"272","Wed, Nov 30, 2016","8:00 pm","Washington Wizards","115","Oklahoma City Thunder","126"
"273","Wed, Nov 30, 2016","9:00 pm","Atlanta Hawks","107","Phoenix Suns","109"
"274","Wed, Nov 30, 2016","10:00 pm","Indiana Pacers","109","Portland Trail Blazers","131"
"275","Wed, Nov 30, 2016","7:30 pm","Memphis Grizzlies","105","Toronto Raptors","120"
"276","Thu, Dec 1, 2016","7:30 pm","Milwaukee Bucks","111","Brooklyn Nets","93"
"277","Thu, Dec 1, 2016","7:00 pm","Dallas Mavericks","87","Charlotte Hornets","97"
"278","Thu, Dec 1, 2016","8:00 pm","Los Angeles Clippers","113","Cleveland Cavaliers","94"
"279","Thu, Dec 1, 2016","10:30 pm","Houston Rockets","132","Golden State Warriors","127"
"280","Thu, Dec 1, 2016","8:00 pm","Orlando Magic","94","Memphis Grizzlies","95"
"281","Thu, Dec 1, 2016","9:00 pm","Miami Heat","111","Utah Jazz","110"
"282","Fri, Dec 2, 2016","8:00 pm","Detroit Pistons","121","Atlanta Hawks","85"
"283","Fri, Dec 2, 2016","7:30 pm","Sacramento Kings","92","Boston Celtics","97"
"284","Fri, Dec 2, 2016","8:00 pm","Cleveland Cavaliers","105","Chicago Bulls","111"
"285","Fri, Dec 2, 2016","10:30 pm","Houston Rockets","128","Denver Nuggets","110"
"286","Fri, Dec 2, 2016","8:00 pm","Los Angeles Clippers","114","New Orleans Pelicans","96"
"287","Fri, Dec 2, 2016","7:30 pm","Minnesota Timberwolves","114","New York Knicks","118"
"288","Fri, Dec 2, 2016","7:00 pm","Orlando Magic","105","Philadelphia 76ers","88"
"289","Fri, Dec 2, 2016","8:30 pm","Washington Wizards","105","San Antonio Spurs","107"
