No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
17,I. Thomas,76,33.8,28.9,2.7,5.9,0.9,0.2,2.7,2.2,2.1,0.6,9.0-19.4,0.464,3.2-8.5,0.38,7.8-8.5,0.909,24.7
18,D. Lillard,75,35.9,27,4.9,5.8,0.9,0.3,2.6,2,4.3,0.6,8.8-19.8,0.444,2.9-7.7,0.371,6.5-7.3,0.895,24.5
19,B. Griffin,61,34,21.6,8.1,4.9,1,0.4,2.3,2.6,6.3,1.8,7.9-15.9,0.493,0.6-1.9,0.336,5.2-6.9,0.76,24
20,K. Lowry,60,37.4,22.4,4.8,7,1.5,0.3,2.9,2.8,4,0.8,7.1-15.3,0.465,3.2-7.8,0.414,5.0-6.1,0.819,23.8
21,D. Jordan,81,31.7,12.7,13.8,1.2,0.6,1.7,1.4,2.6,10.1,3.7,5.1-7.1,0.714,0.0-0.0,-,2.5-5.2,0.482,23.7
22,D. DeRozan,74,35.4,27.3,5.2,3.9,1,0.2,2.4,1.8,4.3,0.9,9.7-20.9,0.467,0.4-1.7,0.266,7.4-8.7,0.842,22.7
23,P. George,75,35.9,23.7,6.6,3.3,1.6,0.3,2.9,2.7,5.8,0.8,8.3-18.0,0.461,2.6-6.6,0.394,4.5-5.0,0.898,22.5
24,K. Irving,72,35.1,25.2,3.1,5.8,1.2,0.3,2.5,2.2,2.4,0.7,9.3-19.7,0.473,2.5-6.1,0.401,4.1-4.6,0.905,22.4
25,K. Love,60,31.4,19,11.1,2,0.9,0.4,2,2.1,8.7,2.5,6.2-14.5,0.427,2.4-6.5,0.373,4.3-4.9,0.871,22.4
26,D. Howard,74,29.7,13.5,12.7,1.4,0.9,1.2,2.3,2.7,8.7,4,5.2-8.3,0.632,0.0-0.0,-,3.1-5.7,0.533,21.7
27,A. Drummond,81,29.7,13.6,13.8,1.1,1.5,1.1,1.9,2.9,9.5,4.3,6.0-11.2,0.531,0.0-0.1,0.286,1.7-4.4,0.386,21.3
28,M. Gasol,74,34.2,19.5,6.2,4.6,0.9,1.3,2.2,2.3,5.4,0.8,7.2-15.7,0.459,1.4-3.6,0.388,3.8-4.5,0.837,21.1
29,M. Conley,69,33.2,20.5,3.6,6.3,1.3,0.3,2.3,1.8,3.1,0.4,6.7-14.6,0.46,2.5-6.1,0.408,4.6-5.3,0.859,21
30,K. Walker,79,34.7,23.2,4,5.5,1.1,0.3,2.1,1.5,3.4,0.6,8.1-18.4,0.443,3.0-7.6,0.399,3.8-4.5,0.847,20.9
31,G. Hayward,73,34.5,21.9,5.4,3.5,1,0.3,1.9,1.6,4.7,0.7,7.5-15.8,0.472,2.0-5.1,0.398,5.0-5.9,0.844,20.9
32,E. Bledsoe,66,33,21.1,4.9,6.3,1.4,0.5,3.4,2.5,4.1,0.8,6.8-15.7,0.433,1.6-4.7,0.337,5.9-6.9,0.847,20.8
33,J. Embiid,31,25.4,20.2,7.8,2.1,0.9,2.4,3.8,3.6,5.8,2,6.5-13.8,0.466,1.2-3.2,0.367,6.2-7.9,0.783,20.6
34,D. Green,76,32.5,10.2,7.9,7,2,1.4,2.4,2.9,6.6,1.3,3.6-8.6,0.417,1.1-3.5,0.307,2.0-2.8,0.709,20.3
35,N. Vucevic,75,28.8,14.6,10.4,2.8,1,1,1.6,2.4,8,2.3,6.4-13.8,0.468,0.3-1.0,0.303,1.4-2.1,0.669,20.2
36,P. Millsap,69,34,18.1,7.8,3.6,1.3,0.9,2.3,2.7,6.1,1.6,6.2-14.1,0.442,1.1-3.5,0.311,4.5-5.9,0.768,20.1
37,C. McCollum,80,34.9,23,3.7,3.6,0.9,0.6,2.2,2.5,2.9,0.8,8.7-18.0,0.48,2.3-5.5,0.42,3.4-3.7,0.912,19.8
38,A. Horford,68,32.3,14,6.8,5,0.8,1.3,1.7,2,5.4,1.4,5.6-11.8,0.474,1.3-3.5,0.357,1.6-2.0,0.8,19.6
39,J. Parker,51,33.9,20.1,6.2,2.8,1,0.4,1.8,2.2,4.6,1.5,7.8-16.0,0.49,1.3-3.5,0.365,3.2-4.3,0.743,19.4
40,J. Teague,82,32.4,15.3,4,7.8,1.2,0.4,2.6,2,3.7,0.4,4.9-11.1,0.443,1.1-3.1,0.357,4.4-5.1,0.867,19.3
41,G. Dragic,73,33.7,20.3,3.8,5.8,1.2,0.2,2.9,2.7,3,0.8,7.3-15.4,0.474,1.6-4.0,0.405,4.1-5.2,0.79,19.3
42,B. Beal,77,34.9,23.1,3.1,3.5,1.1,0.3,2,2.2,2.4,0.7,8.3-17.2,0.481,2.9-7.2,0.403,3.7-4.4,0.825,19.3
43,R. Gay,30,33.8,18.7,6.3,2.7,1.5,0.9,2.5,2.6,5.1,1.2,6.7-14.7,0.455,1.4-3.8,0.372,3.9-4.6,0.855,19
44,C. Anthony,74,34.3,22.4,5.9,2.9,0.9,0.4,2.1,2.7,5.1,0.9,8.1-18.8,0.433,2.0-5.7,0.36,4.1-4.9,0.833,18.9
45,B. Lopez,75,29.6,20.5,5.4,2.3,0.5,1.7,2.5,2.6,3.8,1.6,7.4-15.6,0.473,1.8-5.1,0.347,3.9-4.9,0.81,18.8
46,M. Turner,81,31.4,14.5,7.2,1.3,0.9,2.1,1.3,3.2,5.5,1.7,5.5-10.7,0.51,0.5-1.4,0.342,3.0-3.7,0.809,18.8
47,L. Aldridge,72,32.4,17.3,7.3,1.9,0.6,1.2,1.4,2.2,4.9,2.4,6.9-14.6,0.477,0.3-0.8,0.411,3.1-3.8,0.812,18.7
48,K. Porzingis,66,32.8,18.1,7.2,1.5,0.7,2,1.8,3.7,5.5,1.7,6.7-14.9,0.45,1.7-4.7,0.358,3.0-3.8,0.786,18.6
49,N. Batum,77,34,15.1,6.3,5.9,1.1,0.4,2.5,1.4,5.7,0.6,5.1-12.7,0.403,1.8-5.3,0.333,3.2-3.7,0.856,18.3
50,M. Gortat,82,31.2,10.8,10.3,1.5,0.5,0.8,1.4,2.6,7.4,2.9,4.8-8.2,0.579,0.0-0.0,-,1.3-1.9,0.648,18.2
51,T. Chandler,47,27.7,8.4,11.4,0.6,0.7,0.5,1.4,2.7,8.1,3.3,3.3-4.9,0.671,0.0-0.0,-,1.9-2.6,0.734,18.1
52,K. Thompson,78,34,22.3,3.7,2.1,0.8,0.5,1.6,1.8,3.1,0.6,8.3-17.7,0.468,3.4-8.3,0.414,2.4-2.8,0.853,18
53,R. Rubio,75,32.9,11.1,4.1,9.1,1.7,0.1,2.6,2.7,3.2,0.9,3.5-8.7,0.402,0.8-2.6,0.306,3.4-3.8,0.891,17.9
54,D. Gallinari,63,33.9,18.2,5.1,2.2,0.7,0.2,1.3,1.5,4.5,0.6,5.3-11.9,0.447,2.0-5.2,0.388,5.5-6.1,0.902,17.9
55,J. Valanciunas,80,25.8,12,9.5,0.7,0.5,0.8,1.3,2.7,6.7,2.9,4.9-8.8,0.556,0.0-0.0,0.5,2.2-2.7,0.811,17.8
56,J. Holiday,67,32.7,15.4,3.9,7.3,1.5,0.6,2.9,2,3.2,0.7,6.0-13.3,0.453,1.5-4.2,0.356,1.8-2.5,0.708,17.8
57,C. Capela,65,23.9,12.6,8.1,1,0.5,1.2,1.4,2.8,5.4,2.7,5.6-8.6,0.644,0.0-0.0,-,1.4-2.7,0.531,17.7
58,O. Porter Jr.,80,32.6,13.4,6.4,1.5,1.5,0.5,0.5,2.4,5,1.5,5.2-10.1,0.515,1.9-4.3,0.433,1.2-1.5,0.832,17.7
59,J. Randle,74,28.9,13.2,8.6,3.6,0.7,0.5,2.4,3.4,6.5,2,5.1-10.5,0.486,0.2-0.9,0.266,2.8-3.8,0.723,17.7
60,P. Gasol,64,25.4,12.4,7.8,2.4,0.4,1.1,1.3,1.7,6.2,1.7,4.7-9.4,0.502,0.9-1.6,0.538,2.0-2.9,0.707,17.2
61,A. Wiggins,82,37.2,23.6,4,2.3,1,0.3,2.3,2.2,2.8,1.2,8.6-19.1,0.452,1.3-3.5,0.358,5.0-6.6,0.76,16.9
62,E. Payton,82,29.4,12.8,4.8,6.5,1,0.5,2.2,2.2,3.7,1.1,5.2-11.1,0.473,0.5-1.8,0.274,1.8-2.6,0.692,16.7
63,G. Hill,49,31.5,16.9,3.4,4.1,1,0.2,1.7,2.3,2.9,0.5,5.9-12.3,0.478,1.9-4.8,0.402,3.2-4.0,0.801,16.7
64,S. Ibaka,79,30.7,14.8,6.8,0.9,0.5,1.6,1.3,2.7,5.2,1.6,6.0-12.4,0.479,1.6-4.0,0.39,1.4-1.6,0.856,16.6
65,M. Plumlee,81,26.5,10.4,7.5,3.5,0.9,1.1,1.7,2.8,5.4,2.1,4.1-7.7,0.534,0.0-0.1,-,2.1-3.7,0.58,16.6
66,D. Schroder,79,31.5,17.9,3.2,6.4,0.9,0.2,3.2,1.9,2.6,0.5,6.9-15.4,0.451,1.3-3.7,0.339,2.8-3.2,0.855,16.4
67,D. Rose,64,32.5,18,3.8,4.4,0.7,0.3,2.3,1.3,2.8,1,7.2-15.3,0.471,0.2-0.9,0.217,3.5-4.0,0.874,16.4
68,D. Wade,60,29.9,18.3,4.5,3.8,1.4,0.7,2.3,1.9,3.5,1.1,6.9-15.9,0.433,0.8-2.4,0.308,3.7-4.7,0.794,16.4
69,H. Barnes,79,35.5,19.2,5.1,1.5,0.8,0.2,1.3,1.6,3.8,1.2,7.6-16.2,0.468,1.0-2.8,0.351,3.1-3.6,0.861,16.4
70,A. Bradley,55,33.4,16.3,6.1,2.2,1.3,0.2,1.6,2.6,4.9,1.2,6.5-14.1,0.463,2.0-5.1,0.388,1.2-1.7,0.731,16.3
71,G. Dieng,82,32.4,10,7.9,1.9,1.1,1.2,1.3,3.1,5.6,2.3,4.0-8.0,0.503,0.2-0.5,0.381,1.7-2.0,0.814,16.3
72,J. Crowder,72,32.4,13.9,5.8,2.2,1,0.3,1.1,2.2,5.1,0.7,4.6-10.0,0.463,2.2-5.5,0.398,2.4-3.0,0.811,16.1
73,W. Chandler,71,30.9,15.7,6.5,2,0.7,0.5,1.6,2.4,5,1.5,6.1-13.2,0.461,1.5-4.6,0.337,2.0-2.7,0.727,15.9
74,Z. LaVine,47,37.2,18.9,3.4,3,0.9,0.2,1.8,2.2,3,0.4,6.9-15.1,0.46,2.6-6.6,0.388,2.5-3.0,0.836,15.9
75,E. Kanter,72,21.3,14.3,6.7,0.9,0.4,0.5,1.7,2.1,4,2.7,5.6-10.2,0.545,0.1-0.5,0.132,3.1-4.0,0.786,15.8
76,T. Harris,82,31.3,16.1,5.1,1.7,0.7,0.5,1.1,1.6,4.3,0.8,6.2-13.0,0.481,1.3-3.8,0.347,2.3-2.8,0.841,15.8
77,J. Lin,36,24.5,14.5,3.8,5.1,1.1,0.4,2.4,2.2,3.4,0.3,4.9-11.1,0.438,1.6-4.3,0.372,3.2-3.9,0.816,15.5
78,S. Adams,80,29.9,11.3,7.7,1.1,1.1,1,1.8,2.4,4.1,3.5,4.7-8.2,0.572,0.0-0.0,-,2.0-3.2,0.611,15.5
79,G. Monroe,81,22.5,11.7,6.6,2.3,1.1,0.5,1.7,2.1,4.5,2,4.8-9.0,0.533,0.0-0.1,-,2.2-3.0,0.741,15.5
80,T. Thompson,78,30,8.1,9.2,1,0.5,1.1,0.8,2.3,5.5,3.7,3.4-5.6,0.6,0.0-0.0,-,1.4-2.7,0.498,15.4
81,Z. Randolph,73,24.5,14.1,8.2,1.7,0.5,0.2,1.4,1.9,5.7,2.5,5.9-13.2,0.45,0.3-1.3,0.223,1.9-2.6,0.731,15.3
82,D. Booker,78,35,22.1,3.2,3.4,0.9,0.3,3.1,3.1,2.6,0.6,7.8-18.3,0.424,1.9-5.2,0.363,4.7-5.7,0.832,15.3
83,Markieff Morris,76,31.2,14,6.5,1.7,1.1,0.6,1.7,3.3,5.1,1.4,5.3-11.7,0.458,0.9-2.6,0.362,2.4-2.8,0.837,15.3
84,C. Zeller,62,27.8,10.3,6.5,1.6,0.9,1,1,3,4.4,2.2,4.1-7.1,0.571,0.0-0.0,-,2.1-3.2,0.679,15.3
85,T. Booker,71,24.7,10,8.1,1.9,1,0.4,1.8,2.1,6.1,2,4.3-8.3,0.517,0.4-1.1,0.321,1.0-1.5,0.673,15.2
86,J. Johnson,76,27.4,12.8,5,3.6,1,1.1,2.3,2.6,4.1,0.9,4.8-10.1,0.479,1.1-3.4,0.341,2.0-2.8,0.707,15.2
87,D. Nowitzki,54,26.4,14.2,6.5,1.5,0.6,0.7,0.9,2.1,6.1,0.4,5.5-12.6,0.437,1.5-3.9,0.378,1.8-2.1,0.875,15.2
88,P. Beverley,67,30.7,9.5,5.9,4.2,1.5,0.4,1.5,3.3,4.5,1.4,3.4-8.1,0.42,1.6-4.3,0.383,1.1-1.4,0.768,15
89,K. Middleton,29,30.7,14.7,4.2,3.4,1.4,0.2,2.2,2.7,3.8,0.4,5.2-11.5,0.45,1.6-3.6,0.433,2.8-3.2,0.88,15
90,G. Harris,57,31.3,14.9,3.2,2.8,1.2,0.1,1.3,1.6,2.3,0.9,5.6-11.2,0.503,1.9-4.5,0.42,1.8-2.4,0.776,14.9
91,R. Covington,67,31.7,12.9,6.5,1.5,1.9,1,1.9,3,5.1,1.4,4.4-10.9,0.398,2.0-6.2,0.332,2.1-2.6,0.822,14.8
92,T. Warren,66,31,14.4,5.2,1.1,1.2,0.6,0.9,2.7,3.3,1.9,6.1-12.3,0.496,0.4-1.5,0.265,1.8-2.3,0.773,14.8
93,T. Ariza,80,34.7,11.7,5.7,2.2,1.8,0.3,0.9,1.7,5,0.7,4.1-10.0,0.41,2.4-6.9,0.344,1.2-1.6,0.738,14.5
94,L. Williams,81,24.6,17.5,2.5,3,1,0.2,2,1.1,2.2,0.3,5.3-12.3,0.428,2.0-5.5,0.366,5.0-5.6,0.88,14.5
95,K. Faried,61,21.2,9.6,7.5,0.9,0.7,0.7,1,2,4.6,2.9,3.7-6.8,0.548,0.0-0.1,-,2.1-3.1,0.693,14.4
96,T. Young,74,30.2,11,6.1,1.6,1.5,0.4,1.3,1.8,4.3,1.8,4.9-9.3,0.526,0.6-1.6,0.381,0.6-1.2,0.523,14.3
97,V. Oladipo,67,33.2,15.9,4.3,2.6,1.1,0.3,1.8,2.3,3.7,0.6,6.1-13.9,0.443,1.9-5.3,0.361,1.7-2.3,0.753,14.3
98,M. Williams,76,30.2,11.2,6.5,1.4,0.8,0.7,0.8,1.8,5.3,1.2,3.9-9.3,0.422,1.6-4.6,0.351,1.7-2.0,0.873,14.2
99,T. Johnson,73,29.8,13.7,4,3.2,1.2,0.6,1.2,2.4,3.3,0.7,4.9-11.3,0.434,1.3-3.4,0.373,2.7-3.5,0.768,14.2
100,M. Kidd-Gilchrist,81,29,9.2,7,1.4,1,0.9,0.7,2.3,5,1.9,3.6-7.6,0.478,0.0-0.1,0.111,1.9-2.4,0.784,14.2
101,W. Barton,60,28.4,13.7,4.4,3.4,0.8,0.5,1.6,1.8,3.4,1,4.9-11.1,0.442,1.5-3.9,0.37,2.4-3.2,0.753,14.1
102,D. Russell,63,28.7,15.6,3.5,4.8,1.4,0.3,2.8,2.1,3,0.5,5.6-13.8,0.405,2.1-6.1,0.351,2.3-3.0,0.782,14
103,D. Collison,68,30.3,13.2,2.3,4.6,1,0.1,1.7,1.8,1.9,0.4,5.0-10.5,0.476,1.1-2.6,0.42,2.2-2.5,0.86,13.8
104,R. Rondo,69,26.7,7.8,5.2,6.7,1.4,0.2,2.4,2.1,4.1,1.1,3.3-8.1,0.408,0.7-1.9,0.376,0.4-0.7,0.6,13.7
105,N. Noel,51,20.5,8.7,5.8,1,1.3,1,1,2.5,3.9,1.9,3.6-6.1,0.594,0.0-0.0,-,1.5-2.2,0.694,13.6
106,E. Fournier,69,32.4,16.9,3,2.9,1,0.1,2,2.6,2.4,0.7,5.9-13.4,0.44,1.9-5.2,0.357,3.2-4.0,0.805,13.5
107,E. Ilyasova,82,26.1,13.1,5.9,1.7,0.7,0.3,1.4,2.6,4.5,1.4,4.7-10.8,0.432,1.7-4.9,0.353,2.0-2.5,0.78,13.5
108,J. Nurkic,65,21.4,10.2,7.2,1.8,0.8,1.2,2.2,2.5,4.8,2.4,4.2-8.2,0.508,0.0-0.0,-,1.8-3.2,0.571,13.5
109,D. Waiters,46,30.1,15.8,3.3,4.4,0.9,0.4,2.2,2.1,2.9,0.4,6.1-14.4,0.424,1.8-4.7,0.394,1.8-2.8,0.646,13.3
110,J. Green,77,27.3,8.9,7,1.1,0.6,0.4,1.2,3.2,4.9,2.2,3.2-6.5,0.502,0.7-1.9,0.385,1.7-2.2,0.802,13.2
111,R. Holmes,57,20.9,9.8,5.4,1,0.7,0.9,0.9,2.4,3.8,1.6,4.0-7.2,0.558,0.5-1.4,0.351,1.3-1.8,0.699,13.2
112,A. Gordon,80,28.7,12.7,5,1.9,0.8,0.5,1.1,2.2,3.6,1.4,4.9-10.8,0.455,1.0-3.3,0.289,2.0-2.7,0.719,13.2
113,T. Gibson,78,25.5,10.8,6.2,0.9,0.6,0.9,1.4,2.1,4.2,2,4.7-9.1,0.516,0.0-0.2,0.231,1.4-2.0,0.715,13.1
114,R. Lopez,81,28,10.4,6.4,1,0.2,1.5,1.1,1.9,3.4,3,4.7-9.6,0.493,0.0-0.0,-,0.9-1.3,0.721,13.1
115,J. Noah,46,22.1,5,8.7,2.2,0.7,0.8,1.3,2.8,5.2,3.5,2.2-4.3,0.495,0.0-0.0,-,0.7-1.7,0.436,13
116,D. Saric,81,26.3,12.8,6.3,2.2,0.7,0.4,2.3,2,5,1.4,4.7-11.5,0.411,1.3-4.2,0.31,2.1-2.7,0.78,12.9
117,T. McConnell,81,26.3,6.9,3.1,6.6,1.7,0.1,2,1.7,2.6,0.5,2.9-6.3,0.461,0.1-0.7,0.2,0.9-1.1,0.811,12.8
118,A. Iguodala,76,26.3,7.6,4,3.4,1,0.5,0.8,1.3,3.4,0.7,2.9-5.4,0.529,0.8-2.3,0.362,0.9-1.3,0.706,12.8
119,E. Gordon,75,31,16.2,2.7,2.5,0.6,0.5,1.6,2,2.3,0.4,5.5-13.5,0.406,3.3-8.8,0.372,2.0-2.3,0.84,12.6
120,A. Aminu,61,29.1,8.7,7.4,1.6,1,0.7,1.5,1.7,6.1,1.3,3.0-7.6,0.393,1.1-3.5,0.329,1.6-2.2,0.706,12.6
121,W. Hernangomez,72,18.4,8.2,6.9,1.3,0.6,0.5,1.4,2.1,4.6,2.3,3.4-6.4,0.531,0.1-0.2,0.267,1.3-1.7,0.728,12.6
122,Marcus Morris,79,32.5,14,4.7,2,0.7,0.3,1.1,2.1,3.7,1,5.3-12.8,0.417,1.5-4.5,0.33,1.8-2.3,0.784,12.6
123,L. Nance Jr.,63,22.9,7.2,5.9,1.5,1.3,0.6,0.9,2.4,4,1.9,3.0-5.8,0.525,0.2-0.6,0.278,0.9-1.3,0.738,12.5
124,S. Curry,70,29,12.8,2.5,2.7,1.1,0.1,1.3,1.8,2.2,0.4,4.8-10.0,0.481,2.0-4.6,0.427,1.2-1.4,0.85,12.5
125,R. Jackson,52,27.4,14.5,2.2,5.2,0.7,0.1,2.2,2.5,1.8,0.4,5.5-13.0,0.419,1.3-3.5,0.359,2.3-2.6,0.868,12.5
126,R. Anderson,72,29.4,13.6,4.5,1,0.4,0.2,0.8,2,3,1.6,4.5-10.8,0.419,2.8-7.1,0.404,1.8-2.1,0.86,12.5
127,M. Smart,79,30.4,10.6,3.9,4.6,1.6,0.4,2,2.4,2.9,1,3.4-9.5,0.36,1.2-4.2,0.284,2.6-3.2,0.812,12.4
128,T. Jones,54,23.5,10.8,5.7,1.1,0.7,1,0.9,1.2,4.4,1.2,4.3-9.1,0.472,0.4-1.4,0.253,1.9-3.1,0.606,12.3
129,J. Leuer,75,25.9,10.3,5.4,1.5,0.4,0.4,0.9,1.9,4,1.4,4.1-8.6,0.481,0.7-2.2,0.293,1.3-1.5,0.867,12.3
130,M. Brogdon,75,26.4,10.2,2.8,4.3,1.1,0.2,1.5,1.9,2.2,0.6,3.9-8.4,0.458,1.0-2.5,0.408,1.5-1.7,0.865,12.3
131,W. Matthews,73,34.2,13.5,3.6,2.9,1,0.2,1.4,2.2,3.3,0.3,4.6-11.6,0.393,2.4-6.6,0.363,2.0-2.5,0.816,12.3
132,T. Hardaway Jr.,79,27.3,14.5,2.8,2.3,0.7,0.2,1.4,1.3,2.4,0.4,5.3-11.5,0.455,1.9-5.3,0.357,2.1-2.7,0.766,12.2
133,D. Favors,50,23.7,9.5,6.1,1.1,0.9,0.8,1.2,2.1,4.2,1.9,4.1-8.3,0.487,0.1-0.2,0.3,1.3-2.2,0.615,12.1
134,K. Caldwell-Pope,76,33.3,13.8,3.3,2.5,1.2,0.2,1.1,1.6,2.5,0.7,4.9-12.2,0.399,2.0-5.8,0.35,2.0-2.4,0.832,12
135,J. Crawford,19,23.3,14.1,1.8,3.1,0.6,0.1,1.3,1.6,1.6,0.2,5.5-11.5,0.482,1.9-5.0,0.389,1.1-1.4,0.769,12
136,J. Huestis,2,15.4,7,4.5,1.5,0,2,0,0,2.5,2,3.0-5.5,0.545,1.0-2.0,0.5,0.0-0.5,-,12
137,N. Mirotic,70,24,10.6,5.5,1.1,0.8,0.8,1.1,1.8,4.6,0.9,3.7-8.9,0.413,1.8-5.4,0.342,1.4-1.8,0.773,12
138,R. Hollis-Jefferson,78,22.6,8.7,5.8,2,1.1,0.6,1.5,2.3,4.6,1.2,3.0-6.9,0.434,0.2-0.9,0.224,2.4-3.2,0.751,11.9
139,T. Lawson,69,25.1,9.9,2.6,4.9,1.1,0.1,1.9,1.7,2,0.6,3.4-7.6,0.454,0.5-1.7,0.286,2.5-3.1,0.797,11.9
140,D. Williams,64,25.9,11,2.3,5.6,0.5,0.1,2.1,2.2,2.1,0.2,4.1-9.4,0.438,1.3-3.7,0.363,1.4-1.7,0.826,11.8
141,J. Clarkson,82,29.2,14.7,3,2.6,1.1,0.1,2,1.8,2.4,0.6,5.8-13.0,0.446,1.4-4.3,0.329,1.6-2.0,0.798,11.8
142,A. Len,77,20.3,8,6.6,0.6,0.5,1.3,1.3,3.1,4.6,2,3.0-6.0,0.498,0.0-0.2,0.25,1.9-2.7,0.721,11.8
143,M. Harkless,77,28.9,10,4.4,1.2,1.1,0.9,1.1,2.8,2.8,1.6,4.1-8.1,0.502,0.9-2.5,0.351,1.0-1.6,0.621,11.8
144,C. Lee,77,31.9,10.8,3.4,2.3,1.1,0.3,0.9,1.8,2.7,0.7,4.2-9.2,0.455,1.4-3.5,0.403,1.1-1.3,0.867,11.8
145,D. Lee,79,18.7,7.3,5.6,1.5,0.4,0.5,1,1.6,3.7,1.9,3.1-5.3,0.59,0.0-0.0,-,1.0-1.4,0.708,11.7
146,I. Smith,81,24.1,9.4,2.9,5.2,0.8,0.4,1.4,1.6,2.6,0.2,4.1-9.2,0.44,0.3-1.3,0.267,0.9-1.3,0.706,11.7
147,J. Okafor,50,22.7,11.8,4.8,1.2,0.4,1,1.8,2.4,3.2,1.6,4.8-9.4,0.514,0.0-0.0,-,2.1-3.2,0.671,11.7
148,K. Olynyk,75,20.5,9,4.8,2,0.6,0.4,1.3,2.8,3.8,1,3.5-6.8,0.51,0.9-2.6,0.354,1.2-1.6,0.732,11.7
149,J. Redick,78,28.2,15,2.2,1.4,0.7,0.2,1.3,1.6,2,0.2,5.1-11.4,0.444,2.6-6.0,0.429,2.3-2.6,0.891,11.6
150,S. Kilpatrick,70,25.1,13.1,4,2.3,0.7,0.1,1.9,1.7,3.7,0.3,4.3-10.5,0.414,1.5-4.4,0.341,2.9-3.5,0.843,11.5
151,J. Barea,35,22,10.9,2.4,5.5,0.4,0,1.8,0.9,2.1,0.3,4.1-9.8,0.414,1.5-4.2,0.358,1.3-1.5,0.863,11.5
152,F. Kaminsky,75,26.1,11.7,4.5,2.1,0.7,0.5,1,1.9,3.8,0.8,4.3-10.7,0.399,1.5-4.7,0.328,1.6-2.1,0.756,11.5
153,K. O'Quinn,79,15.6,6.3,5.5,1.5,0.5,1.3,1,2.2,3.5,2,2.7-5.2,0.521,0.0-0.2,0.118,0.8-1.1,0.771,11.4
154,M. Harrell,58,18.3,9.1,3.8,1.1,0.3,0.7,0.8,2.2,2.4,1.4,3.9-5.9,0.652,0.0-0.1,0.143,1.3-2.1,0.628,11.4
155,Z. Pachulia,70,18.1,6.1,5.8,1.9,0.8,0.5,1.3,2.4,3.8,2,2.3-4.4,0.536,0.0-0.0,-,1.4-1.8,0.778,11.4
156,T. Allen,71,27,9.1,5.5,1.4,1.6,0.4,1.4,2.5,3.2,2.3,3.9-8.4,0.461,0.2-0.8,0.278,1.1-1.8,0.615,11.4
