No,Player,EFF
394,L. Nogueira,3.6
395,J. Evans,3.6
396,N. Pekovic,3.6
397,A. Morrow,3.6
398,G. Smith,3.6
399,K. Marshall,3.6
400,J. Adams,3.5
401,R. McCallum,3.5
402,K. Singler,3.5
403,J. Anderson,3.5
404,W. Tavares,3.5
405,S. Napier,3.4
406,D. Wright,3.4
407,S. Karasev,3.3
408,B. Roberts,3.2
409,U. Haslem,3.2
410,J. Young,3.2
411,D. Hilliard,3.2
412,T. Hansbrough,3.1
413,A. Payne,3.1
414,T. Antetokounmpo,3
415,K. Looney,3
416,J. McAdoo,3
417,M. Bonner,2.9
418,C. Kaman,2.9
419,E. Millsap,2.9
420,K. Papanikoloaou,2.8
421,L. Patterson,2.8
422,R. Hollins,2.8
423,T. Wroten,2.8
424,J. Jones,2.7
425,D. Blair,2.6
426,T. Rozier,2.6
427,D. Inglis,2.5
428,R. Vaughn,2.5
429,M. Miller,2.5
430,S. Weems,2.5
431,J. Guttierez,2.5
432,R. Hunter,2.4
433,J. Huestis,2.4
434,K. McDaniels,2.4
435,O. Johnson,2.4
436,J. Ayres,2.4
437,C. Wilcox,2.4
438,J. Anthony,2.4
439,S. Whittington,2.3
440,C. Bairstow,2.3
441,L. Amundson,2.2
442,D. Jones,2.1
443,N. Robinson,2
444,E. Moreland,2
445,J. Eddie,2
446,L. Brown,1.9
447,A. Goudelock,1.9
448,J. Cunningham,1.9
449,D. Marble,1.9
450,D. Rudez,1.8
451,J. Mickey,1.8
452,C. Early,1.8
453,T. Pleiss,1.8
454,S. Novak,1.8
455,E. Green,1.7
456,S. Weems,1.7
457,A. Bennett,1.7
458,C. Alexander,1.6
459,S. Kaun,1.6
460,R. Smith,1.5
461,J. Stokes,1.4
462,E. Williams,1.4
463,M. McGary,1.3
464,C. Copeland,1.3
465,C. Clarke,1.3
466,J. Young,1.2
467,B. Dawson,1.2
468,J. Harper,1.2
469,N. Mohammed,1.1
470,P. Connaughton,1
471,J. Harris,0.8
472,A. Harrison,0.7
473,S. Dekker,0.7
474,J. Fredette,0.7
475,J. O'Brien,0.5
476,L. Montero,0.4
477,B. Cotton,0.4
478,K. Appling,0
479,B. Caboclo,-1
480,J. Holland,-1
