No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
161,A. Tolliver,3,8.7,1.3,1.3,0.3,0,0.3,0,0,1,0.3,0.7-1.3,0.5,0.0-0.7,-,0.0-0.0,-,2.7
162,L. Allen,6,8.5,1,2.3,0.3,0.2,0.2,0.2,0.3,1.7,0.7,0.5-1.7,0.3,0.0-0.0,-,0.0-0.0,-,2.7
163,L. Nogueira,5,5.8,1.2,1.6,0,0,0,0,0.6,1.4,0.2,0.6-0.8,0.75,0.0-0.0,-,0.0-0.0,-,2.6
164,J. Smith,4,9.4,4,0.5,1,0.3,0.3,1.3,1.8,0.3,0.3,1.5-3.3,0.462,1.0-2.0,0.5,0.0-0.5,-,2.5
165,R. Foye,16,11.9,2.5,1.3,0.8,0.1,0.2,0.7,1.1,1.1,0.1,0.9-2.6,0.341,0.5-1.6,0.308,0.3-0.3,1,2.5
166,D. Williams,3,16.4,5,0.7,2.7,0.3,0,2.3,2,0.7,0,2.0-6.0,0.333,1.0-2.3,0.429,0.0-0.0,-,2.3
167,G. Green,12,9.2,3.3,1.4,0.1,0.3,0.1,0.2,1.2,1.3,0.2,1.3-4.1,0.327,0.3-1.2,0.286,0.3-0.4,0.8,2.3
168,T. Lawson,7,10.5,2.3,1,1.4,0.4,0,0.9,1.1,0.9,0.1,0.9-2.6,0.333,0.0-0.4,-,0.6-0.9,0.667,2.3
169,L. Scola,11,12.8,2.5,1.6,0.6,0.3,0,0.5,2,1.5,0.2,0.7-2.8,0.258,0.4-1.9,0.19,0.7-1.0,0.727,2.3
170,C. Brewer,5,15.4,4.4,1.4,1.6,0,0.2,1.2,2.6,0.8,0.6,1.4-5.4,0.259,0.2-2.0,0.1,1.4-1.6,0.875,2.2
171,A. Varejao,17,5.5,1.2,1.2,0.8,0.1,0.1,0.1,1,0.5,0.7,0.3-0.8,0.357,0.0-0.0,-,0.6-1.1,0.526,2.2
172,K. Martin,5,9.9,4.4,0.8,0.6,0.2,0,1.2,1,0.8,0,1.6-4.0,0.4,0.8-1.6,0.5,0.4-0.6,0.667,2.2
173,J. Huestis,2,5.1,1.5,1.5,0,0,0,0,0.5,1,0.5,0.5-1.5,0.333,0.5-1.0,0.5,0.0-0.0,-,2
174,T. Mozgov,13,5.8,1.2,1.6,0.2,0.2,0.2,0.6,1.2,1.2,0.4,0.5-1.2,0.4,0.0-0.0,-,0.2-0.3,0.75,2
175,J. Meeks,1,1.7,2,0,0,0,0,0,0,0,0,1.0-1.0,1,0.0-0.0,-,0.0-0.0,-,2
176,C. Kaman,4,8.1,3.5,2,0.3,0.5,0,1.5,2.5,1.5,0.5,1.8-4.5,0.389,0.0-0.0,-,0.0-0.0,-,2
177,S. Blake,4,10.8,1,1,2.5,0,0,1.3,1.8,1,0,0.3-1.3,0.2,0.3-0.5,0.5,0.3-0.5,0.5,2
178,G. Robinson,4,2.6,1.8,0,0,0,0.3,0,0,0,0,0.8-1.0,0.75,0.0-0.0,-,0.3-0.3,1,1.8
179,J. McAdoo,8,4.7,0.6,1,0.3,0.4,0.3,0.1,0.8,1,0,0.3-0.5,0.5,0.0-0.0,-,0.1-0.5,0.25,1.8
180,A. Morrow,14,5.5,2.6,0.1,0.1,0.1,0,0.3,0.4,0.1,0,0.8-1.7,0.458,0.4-1.0,0.357,0.7-0.7,1,1.7
181,L. Patterson,4,4.9,1.5,1.3,0.8,0.3,0,1,0.3,1.3,0,0.5-1.8,0.286,0.3-0.8,0.333,0.3-0.3,1,1.5
182,J. Ayres,2,1.2,1.5,0,0,0,0,0,0,0,0,0.5-0.5,1,0.0-0.0,-,0.5-0.5,1,1.5
183,T. Hardaway Jr.,9,9.7,2.2,1,0.8,0,0.1,0.3,0.2,1,0,0.8-2.9,0.269,0.2-1.6,0.143,0.4-0.7,0.667,1.4
184,R. Hunter,5,8.2,1,1.2,0.6,0,0.2,0.2,0.6,1,0.2,0.4-1.8,0.222,0.2-1.0,0.2,0.0-0.0,-,1.4
185,D. Jones,15,3.3,1.1,0.5,0.1,0.1,0.1,0.1,0.2,0.5,0,0.4-0.9,0.462,0.1-0.2,0.333,0.3-0.3,0.8,1.3
186,L. Montero,6,1.3,1.3,0,0,0,0,0,0.2,0,0,0.5-0.5,1,0.3-0.3,1,0.0-0.0,-,1.3
187,K. Singler,6,8.4,1.3,1.2,0,0.2,0,0,0.7,1,0.2,0.5-1.5,0.333,0.3-0.7,0.5,0.0-0.3,-,1.3
188,J. Thompson,10,5.5,0.8,1.1,0.1,0,0.1,0.1,0.6,0.5,0.6,0.4-0.9,0.444,0.0-0.1,-,0.0-0.3,-,1.2
189,K. Hinrich,6,4.6,0.8,0.7,0.5,0,0,0,0.3,0.7,0,0.3-1.2,0.286,0.2-0.5,0.333,0.0-0.0,-,1.2
190,P. Connaughton,6,1.3,1.3,0.2,0,0,0,0,0,0.2,0,0.5-0.8,0.6,0.3-0.5,0.667,0.0-0.0,-,1.2
191,D. Wright,9,4.6,1.6,0.4,0.3,0.3,0,0.2,0.2,0.3,0.1,0.3-1.1,0.3,0.0-0.1,-,0.9-1.4,0.615,1.1
192,A. Goudelock,2,5.7,3,1,0,0,0,1.5,0,1,0,1.5-3.0,0.5,0.0-0.5,-,0.0-0.0,-,1
193,J. Young,4,2.6,2.3,0.3,0.3,0,0,0.5,0.8,0.3,0,0.8-2.0,0.375,0.3-1.0,0.25,0.5-0.5,1,1
194,J. Hill,5,3,0,1.2,0.4,0,0,0,0.2,0.8,0.4,0.0-0.6,-,0.0-0.0,-,0.0-0.0,-,1
195,N. Mohammed,5,1.9,0.4,0.6,0,0,0.2,0.2,0.2,0.4,0.2,0.2-0.4,0.5,0.0-0.0,-,0.0-0.0,-,0.8
196,N. Vonleh,6,2,0,0.7,0.3,0.3,0,0,0.2,0.5,0.2,0.0-0.5,-,0.0-0.0,-,0.0-0.0,-,0.8
197,M. Harrell,2,5.8,1.5,1,0,0,0,0.5,0.5,1,0,0.5-1.5,0.333,0.0-0.5,-,0.5-1.0,0.5,0.5
198,C. Payne,10,6.4,1.8,0.4,0.8,0.2,0.2,0.8,0.7,0.4,0,0.7-2.6,0.269,0.2-1.0,0.2,0.2-0.4,0.5,0.5
199,B. Weber,2,3,0,0,0.5,0.5,0,0,0.5,0,0,0.0-0.5,-,0.0-0.0,-,0.0-0.0,-,0.5
200,A. Harrison,2,3.7,0,0.5,0,0,0,0,0.5,0.5,0,0.0-0.0,-,0.0-0.0,-,0.0-0.0,-,0.5
201,C. Villanueva,4,5.1,2.3,0.5,0.3,0,0,0.3,0.5,0.5,0,0.8-3.0,0.25,0.3-1.3,0.2,0.5-0.5,1,0.5
202,C. Wilcox,2,3.7,0,0.5,0.5,0,0,0,0.5,0.5,0,0.0-0.5,-,0.0-0.0,-,0.0-0.0,-,0.5
203,P. Prigioni,5,5.2,0,0.6,1.4,0,0,0.6,1.6,0.2,0.4,0.0-1.0,-,0.0-0.4,-,0.0-0.0,-,0.4
204,B. Roberts,10,3.6,0.8,0.1,0.3,0,0,0.1,0.5,0,0.1,0.2-0.9,0.222,0.0-0.4,-,0.4-0.6,0.667,0.2
205,M. Williams,13,5.2,1.5,0.5,0.2,0.3,0,0.8,0.6,0.5,0,0.6-2.2,0.286,0.2-1.0,0.231,0.1-0.2,0.5,0.2
206,J. Jones,12,4.6,0.5,0.3,0.3,0,0,0.1,0.3,0.3,0.1,0.2-0.8,0.2,0.1-0.6,0.143,0.1-0.3,0.25,0.1
207,P. Pierce,5,10.7,1.2,1.2,0.2,0.4,0,0.4,1.2,1.2,0,0.4-2.4,0.167,0.2-1.0,0.2,0.2-0.8,0.25,0
208,T. Hansbrough,2,2.8,0,0,0,0,0,0,0,0,0,0.0-0.0,-,0.0-0.0,-,0.0-0.0,-,0
209,J. McGee,2,7.2,2,1.5,0,0.5,0,1.5,1.5,0.5,1,0.5-1.0,0.5,0.0-0.0,-,1.0-3.0,0.333,0
210,J. Guttierez,3,3.9,0,0.7,0.7,0,0,0.3,0,0.7,0,0.0-1.0,-,0.0-0.0,-,0.0-0.0,-,0
211,J. Young,3,3.5,0.7,0,0,0,0,0.3,0.3,0,0,0.3-1.0,0.333,0.0-0.3,-,0.0-0.0,-,-0.3
212,K. Olynyk,4,7.9,0.5,1,0.8,0.3,0,1,1.3,0.5,0.5,0.3-2.3,0.111,0.0-0.8,-,0.0-0.0,-,-0.5
213,P. Hairston,2,11.1,2.5,0,0,0.5,0,0.5,0.5,0,0,1.0-3.0,0.333,0.5-1.5,0.333,0.0-1.0,-,-0.5
214,T. Daniels,4,4.4,0.5,0.5,0,0,0,0,0.5,0.5,0,0.3-2.0,0.125,0.0-0.8,-,0.0-0.0,-,-0.8
215,J. Holland,1,1.3,0,0,0,0,0,0,0,0,0,0.0-1.0,-,0.0-1.0,-,0.0-0.0,-,-1
