"","Date","Atlanta Hawks","Boston Celtics","Brooklyn Nets","Charlotte Hornets","Chicago Bulls","Cleveland Cavaliers","Dallas Mavericks","Denver Nuggets","Detroit Pistons","Golden State Warriors","Houston Rockets","Indiana Pacers","Los Angeles Clippers","Los Angeles Lakers","Memphis Grizzlies","Miami Heat","Milwaukee Bucks","Minnesota Timberwolves","New Orleans Pelicans","New York Knicks","Oklahoma City Thunder","Orlando Magic","Philadelphia 76ers","Phoenix Suns","Portland Trail Blazers","Sacramento Kings","San Antonio Spurs","Toronto Raptors","Utah Jazz","Washington Wizards"
"118","Sun, Feb 28, 2016",1827.05678575517,1830.73074681161,988.730635699087,1676.24182482818,1359.3329433582,2113.74065956374,1586.28439451492,1143.33682449829,1524.74324822438,2543.75027410746,1625.77282152951,1640.81330470434,2012.24270653229,666.832646065142,1615.48588272253,1508.55051324995,1135.56459187844,926.366167549842,1276.14975624757,1008.30803078115,2066.97461080452,1198.31204478053,580.674432174891,1075.72405808905,1605.04672609501,1230.67468384622,2468.44205947065,1853.59482272526,1635.58846215273,1414.56114123935
"119","Mon, Feb 29, 2016",1827.05678575517,1839.32290696315,977.830193279441,1676.24182482818,1359.3329433582,2121.87918419565,1586.28439451492,1131.88049128428,1524.74324822438,2543.75027410746,1623.98282403141,1632.67478007243,2023.14314895194,666.832646065142,1626.94221593653,1508.55051324995,1137.35458937654,926.366167549842,1276.14975624757,1008.30803078115,2082.97793629324,1198.31204478053,570.3657268818,1075.72405808905,1605.04672609501,1214.6713583575,2468.44205947065,1853.59482272526,1626.99630200119,1424.86984653244
"120","Tue, Mar 1, 2016",1819.52805450698,1839.32290696315,974.534286710535,1706.01388670521,1341.4926701203,2121.87918419565,1602.20347419083,1131.88049128428,1524.74324822438,2551.27900535565,1623.98282403141,1632.67478007243,2023.14314895194,670.128552634047,1626.94221593653,1526.39078648785,1137.35458937654,926.366167549842,1276.14975624757,987.576168954562,2082.97793629324,1182.39296510462,570.3657268818,1045.95199621202,1625.7785879216,1214.6713583575,2468.44205947065,1853.59482272526,1626.99630200119,1424.86984653244
"121","Wed, Mar 2, 2016",1819.52805450698,1861.67476646012,974.534286710535,1723.15448814064,1332.65753963303,2121.87918419565,1602.20347419083,1145.26235919029,1509.486909493,2551.27900535565,1633.11238609952,1642.20459643105,2029.83623050065,656.746684728041,1636.97700858707,1526.39078648785,1127.82477301791,915.903413187204,1267.02019417946,987.576168954562,2076.28485474453,1191.22809559189,553.225125446365,1045.95199621202,1603.42672842463,1204.63656570696,2483.69839820203,1866.5383535239,1614.05277120255,1435.33260089508
"122","Thu, Mar 3, 2016",1819.52805450698,1861.67476646012,974.534286710535,1723.15448814064,1332.65753963303,2121.87918419565,1600.69383563445,1145.26235919029,1509.486909493,2568.59749403732,1633.11238609952,1642.20459643105,2029.83623050065,656.746684728041,1636.97700858707,1544.45500046605,1127.82477301791,915.903413187204,1257.82658499429,987.576168954562,2058.96636606286,1191.22809559189,553.225125446365,1027.88778223382,1603.42672842463,1206.14620426335,2492.8920073872,1866.5383535239,1614.05277120255,1435.33260089508
"123","Fri, Mar 4, 2016",1841.6052056015,1866.18861532915,977.084080305576,1732.18534320347,1332.65753963303,2144.97031196498,1600.69383563445,1142.71256559525,1509.486909493,2568.59749403732,1633.11238609952,1633.17374136822,2029.83623050065,634.669533633527,1644.48125023798,1555.99232070644,1144.46205810112,899.266128104001,1257.82658499429,983.062320085534,2058.96636606286,1181.38728359108,541.687805205976,1037.72859423463,1597.28816326531,1206.14620426335,2492.8920073872,1872.67691868321,1606.54852955164,1412.24147312574
"124","Sat, Mar 5, 2016",1847.78312029927,1847.46791874116,965.39276566193,1732.18534320347,1336.68247534949,2163.69100855297,1600.69383563445,1142.71256559525,1507.22362531618,2568.59749403732,1629.08745038306,1638.53926603144,2023.65831580288,634.669533633527,1644.48125023798,1555.99232070644,1144.46205810112,910.957442747648,1241.7853877834,985.325604262358,2058.96636606286,1181.38728359108,541.687805205976,1037.72859423463,1597.28816326531,1196.31285059875,2502.7253610518,1872.67691868321,1622.58972676253,1406.87594846253
"125","Sun, Mar 6, 2016",1847.78312029927,1847.46791874116,965.39276566193,1732.18534320347,1336.68247534949,2163.69100855297,1599.5271816243,1143.8792196054,1521.64277094883,2568.59817731987,1632.88049416133,1638.53926603144,2023.65831580288,634.668850350971,1643.36451292615,1563.41198674508,1134.02943204034,910.957442747648,1241.7853877834,985.325604262358,2069.39899212364,1181.38728359108,534.268139167336,1038.84533154646,1582.86901763266,1196.31285059875,2502.7253610518,1868.88387490495,1622.58972676253,1406.87594846253
"126","Mon, Mar 7, 2016",1847.78312029927,1847.46791874116,965.39276566193,1740.21725331951,1349.4237314297,2162.77846111617,1577.81089164728,1143.8792196054,1521.64277094883,2575.65837221948,1632.88049416133,1639.08433726062,2045.37460577989,634.668850350971,1644.27706036296,1563.41198674508,1121.28817596012,902.925532631611,1247.4449134173,985.325604262358,2069.39899212364,1174.32708869147,534.268139167336,1038.84533154646,1582.86901763266,1190.65332496485,2502.18028982263,1868.88387490495,1622.58972676253,1406.87594846253
"127","Tue, Mar 8, 2016",1858.97796635184,1847.46791874116,957.628366917577,1740.21725331951,1349.4237314297,2162.77846111617,1577.81089164728,1160.50368576627,1521.64277094883,2575.65837221948,1632.88049416133,1639.08433726062,2045.37460577989,636.376858942634,1644.27706036296,1563.41198674508,1121.28817596012,886.105366757592,1247.4449134173,968.701138101479,2069.39899212364,1172.6190800998,534.268139167336,1038.84533154646,1592.98017437698,1190.65332496485,2519.00045569665,1876.6482736493,1611.39488070997,1396.76479171821
