No,Player,EFF
110,D. Waiters,13.3
111,A. Gordon,13.2
112,R. Holmes,13.2
113,J. Green,13
114,J. Noah,13
115,T. Gibson,13
116,D. Saric,12.9
117,T. McConnell,12.8
118,A. Iguodala,12.8
119,W. Hernangomez,12.6
120,M. Morris,12.6
121,E. Gordon,12.6
122,L. Nance Jr.,12.5
123,S. Curry,12.5
124,R. Jackson,12.5
125,M. Smart,12.5
126,A. Aminu,12.4
127,R. Anderson,12.4
128,W. Matthews,12.3
129,T. Jones,12.3
130,J. Leuer,12.3
131,M. Brogdon,12.2
132,D. Favors,12.1
133,T. Hardaway Jr.,12.1
134,J. Huestis,12
135,K. Caldwell-Pope,12
136,J. Crawford,12
137,N. Mirotic,11.9
138,M. Harkless,11.9
139,T. Lawson,11.9
140,R. Hollis-Jefferson,11.9
141,C. Lee,11.8
142,J. Clarkson,11.8
143,A. Len,11.8
144,I. Smith,11.7
145,J. Okafor,11.7
146,K. Olynyk,11.7
147,D. Williams,11.6
148,S. Kilpatrick,11.5
149,J. Barea,11.5
150,F. Kaminsky,11.5
151,K. O'Quinn,11.4
152,T. Allen,11.4
153,D. Lee,11.4
154,J. Redick,11.3
155,M. Harrell,11.3
156,Z. Pachulia,11.3
157,J. Nelson,11.2
158,N. Hilario,11.2
159,A. Poythress,11.2
160,B. Bogdanovic,11.1
161,S. Long,11
162,A. Williams,10.9
163,D. Dedmon,10.9
164,B. Biyombo,10.8
165,A. Roberson,10.7
166,A. Bogut,10.7
167,J. Lamb,10.7
168,P. Tucker,10.6
169,E. Turner,10.6
170,A. Johnson,10.6
171,J. Henson,10.6
172,J. Richardson,10.5
173,K. Koufos,10.5
174,N. Young,10.5
175,S. Labissiere,10.4
176,Y. Ferrell,10.4
177,J. Winslow,10.4
178,W. Cauley-Stein,10.4
179,T. Evans,10.3
180,M. Barnes,10.3
181,T. Sefolosha,10.2
182,K. Bazemore,10.2
183,T. Parker,10.2
184,T. Frazier,10.1
185,R. Hood,10.1
186,E. Mudiay,10.1
187,A. Crabbe,10.1
188,C. Joseph,10
189,C. Frye,10
190,K. Korver,10
191,M. Speights,10
192,W. Tavares,10
193,S. Dinwiddie,9.9
194,T. Ross,9.9
195,A. Rivers,9.8
196,J. Ingles,9.8
197,P. Mills,9.7
198,C. Miles,9.7
199,M. Beasley,9.7
200,M. Belinelli,9.7
201,L. Deng,9.6
202,G. Temple,9.6
203,I. Zubac,9.5
204,L. Nogueira,9.5
205,T. Mozgov,9.5
206,J. Johnson,9.4
207,D. Powell,9.4
208,D. Carroll,9.4
209,M. Chriss,9.4
210,E. Moore,9.3
211,A. Jefferson,9.3
212,C. LeVert,9.3
213,I. Mahinmi,9.3
214,M. Ellis,9.3
215,B. Hield,9.2
216,S. Rodriguez,9.2
217,T. Snell,9.2
218,V. Carter,9.1
219,D. Green,9.1
220,T. Black,9.1
221,L. Stephenson,9.1
222,B. Jennings,9.1
223,P. Patterson,9
224,D. Cunningham,9
225,J. Bayless,9
226,J. Ennis,8.9
227,S. Hill,8.9
228,J. Hamilton,8.9
229,J. Crawford,8.9
230,B. Ingram,8.9
231,N. Stauskas,8.8
232,J. Murray,8.7
233,B. Portis,8.7
234,J. Dudley,8.6
235,M. Muscala,8.6
236,W. Ellington,8.6
237,M. Dellavedova,8.6
238,A. Tolliver,8.5
239,W. Reed,8.5
240,B. Knight,8.4
241,S. Muhammad,8.3
242,G. Henderson,8.3
243,C. Felicio,8.3
244,J. McGee,8.2
245,J. Holiday,8.2
246,G. Papagiannis,8.1
247,E. Davis,8.1
248,S. Dekker,8.1
249,D. West,8.1
250,B. Wright,8.1
251,S. Hawes,8.1
252,J. Meeks,8
253,M. Ginobili,8
254,R. Felton,8
255,B. Marjanovic,7.9
256,J. Green,7.9
257,A. Goodwin,7.9
258,D. Nwaba,7.8
259,N. Bjelica,7.8
260,A. Baynes,7.8
261,A. Ajinca,7.8
262,D. McDermott,7.8
263,I. Shumpert,7.8
264,G. Robinson III,7.7
265,T. Ulis,7.7
266,J. Anderson,7.6
267,N. Vonleh,7.6
268,S. Mack,7.6
269,J. Smith,7.6
270,A. Afflalo,7.6
271,J. Smith,7.5
272,R. McGruder,7.5
273,J. Harris,7.5
274,J. Farmar,7.5
275,T. Robinson,7.5
276,M. Carter-Williams,7.4
277,N. Powell,7.4
278,B. Udrih,7.3
279,I. Whitehead,7.2
280,D. Harris,7.2
281,C. Diallo,7.2
282,D. Arthur,7.2
283,R. Hibbert,7.1
284,L. Mbah A Moute,7.1
285,S. Mejri,7.1
286,D. Wright,7
287,K. Oubre Jr.,7
288,L. Scola,7
289,S. Livingston,6.8
290,O. Asik,6.8
291,D. Augustin,6.8
292,T. Rozier,6.8
293,J. Grant,6.7
294,B. Bass,6.7
295,J. McRoberts,6.7
296,J. Grant,6.6
297,I. Clark,6.6
298,L. Galloway,6.6
299,P. Siakam,6.5
300,L. Thomas,6.5
301,O. Casspi,6.5
302,T. Douglas,6.5
303,Q. Acy,6.5
304,J. Lauvergne,6.5
305,D. Jones Jr.,6.5
306,A. Harrison,6.4
307,K. Anderson,6.4
308,J. Brown,6.4
309,J. Simmons,6.3
310,K. Humphries,6.3
311,D. Sabonis,6.3
312,T. Prince,6.3
313,B. McLemore,6.3
314,J. Hernangomez,6.3
315,M. Leonard,6.3
316,J. Jerebko,6.2
317,K. Seraphin,6.2
318,M. Thornton,6.1
319,R. Sessions,6.1
320,R. Jefferson,6.1
321,T. Lyles,6
322,P. Zipser,6
323,A. Burks,6
324,A. Bennett,5.9
325,R. Stuckey,5.9
326,L. Allen,5.9
327,H. Thompson,5.8
328,D. Williams,5.8
329,T. Luwawu-Cabarrot,5.8
330,T. Williams,5.8
331,D. Exum,5.8
332,C. Parsons,5.8
333,K. Dunn,5.8
334,B. Diaw,5.8
335,R. Foye,5.7
336,M. Kuzminskas,5.7
337,J. Uthoff,5.7
338,M. Dunleavy,5.5
339,T. Jones,5.5
340,L. Barbosa,5.5
341,R. Bullock,5.5
342,D. Finney-Smith,5.5
343,M. Delaney,5.4
344,C. Brewer,5.4
345,D. Motiejunas,5.4
346,J. Martin,5.3
347,T. Splitter,5.3
348,C. Randle,5.3
349,D. Valentine,5.3
350,M. Teletovic,5.2
351,J. Terry,5.2
352,C. Watson,5.2
353,T. Maker,5
354,C. Onuaku,5
355,J. Poeltl,5
356,S. Johnson,5
357,B. Rush,5
358,R. Baker,4.9
359,T. Zeller,4.9
360,T. Daniels,4.9
361,L. Babbitt,4.9
362,Q. Cook,4.9
363,J. Withey,4.8
364,A. Brown,4.8
365,D. Bertans,4.8
366,A. Abrines,4.8
367,A. Brooks,4.6
368,G. Green,4.6
369,J. Calderon,4.6
370,P. McCaw,4.6
371,K. Looney,4.5
372,J. Jack,4.5
373,T. Burke,4.5
374,C. Andersen,4.5
375,P. Jackson,4.4
376,M. Hezonja,4.4
377,J. Gibson,4.4
378,C. Aldrich,4.4
379,G. Payton II,4.3
380,W. Johnson,4.3
381,O. White,4.2
382,T. Ennis,4.2
383,S. Napier,4.2
384,K. McDaniels,4.2
385,C. Wood,4.1
386,A. Payne,4.1
387,R. Williams,4
388,I. Canaan,4
389,J. McAdoo,4
390,M. Ndour,4
391,A. Morrow,3.9
392,T. Satoransky,3.9
393,W. Selden,3.9
394,J. O'BryantIII,3.8
395,M. Plumlee,3.8
396,M. Georges-Hunt,3.8
397,D. Bender,3.8
398,B. Weber,3.8
399,C. Payne,3.8
400,D. Liggins,3.7
401,S. Christon,3.7
402,N. Brussino,3.6
403,K. Felder,3.5
404,M. Huertas,3.5
405,M. Plumlee,3.5
406,P. Pierce,3.5
407,J. Stokes,3.5
408,J. Eddie,3.4
409,P. Connaughton,3.4
410,W. Baldwin,3.4
411,B. Roberts,3.3
412,J. McRae,3.3
413,D. Bembry,3.3
414,M. Miller,3.2
415,D. Murray,3.2
416,N. Collison,3.2
417,S. McClellan,3.2
418,M. Scott,3.1
419,R. Christmas,3.1
420,N. Laprovittola,3.1
421,M. Beasley,3.1
422,U. Haslem,3.1
423,R. Vaughn,3.1
424,S. Vujacic,3.1
425,R. Neto,3.1
426,A. Varejao,3
427,J. Harper,3
428,M. Richardson,3
429,F. VanVleet,2.9
430,J. Jones,2.9
431,D. Davis,2.9
432,J. Bolomboy,2.8
433,J. Sullinger,2.8
434,K. Singler,2.8
435,J. Anthony,2.8
436,H. Ellenson,2.7
437,A. Nicholson,2.7
438,G. Vasquez,2.7
439,C. McCullough,2.6
440,D. Jackson,2.6
441,A. Hammons,2.6
442,D. Jones,2.5
443,A. Toupane,2.5
444,D. Jones,2.5
445,D. Hilliard,2.4
446,J. Young,2.3
447,S. Zimmerman,2.3
448,T. Graham,2.3
449,N. Cole,2.3
450,R. Kelly,2.2
451,J. Mickey,2.2
452,R. Price,2.2
453,A. Anderson,2.1
454,B. Caboclo,2.1
455,T. Quarterman,2.1
456,J. Hill,2.1
457,B. Forbes,1.9
458,B. Johnson,1.7
459,B. Brown,1.7
460,D. Rudez,1.7
461,D. Ochefu,1.6
462,J. Jenkins,1.5
463,A. Gee,1.5
464,M. World Peace,1.5
465,J. Young,1.5
466,J. Layman,1.4
467,L. Patterson,1.2
468,A. Onuaku,1.1
469,M. Tobey,1
470,D. House,1
471,L. Sanders,1
472,I. Taylor,1
473,K. Wiltjer,0.9
474,C. Wilcox,0.9
475,M. Harris,0.8
476,D. Stone,0.7
477,G. Niang,0.6
478,E. Millsap,0.5
479,A. Harrison,0.4
480,J. Lucas III,0.4
481,S. Novak,0.4
482,R. Hunter,0
483,M. Gbinije,0
484,G. Neal,-0.5
485,P. Garino,-0.6
486,B. Bentil,-0.7
