"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"63",63,63,"3/4/17","@","HOU","L",108,123,43,97,0.443,8,28,0.286,14,21,0.667,17,46,26,8,6,13,24,12.0666666666667,39,78,0.5,18,42,0.429,27,36,0.75,10,43,25,10,4,14,20,15.3777777777778
"64",64,64,"3/6/17","","BRK","L",109,122,34,77,0.442,10,25,0.4,31,39,0.795,8,37,23,7,2,15,29,11.83,39,73,0.534,14,30,0.467,30,38,0.789,7,41,16,12,5,16,27,11.15
"65",65,65,"3/9/17","","LAC","L",98,114,37,83,0.446,7,20,0.35,17,22,0.773,6,34,26,6,2,9,22,11.5,40,78,0.513,11,30,0.367,23,28,0.821,7,48,24,2,4,14,18,14.2777777777778
"66",66,66,"3/11/17","","ATL","L",90,107,34,90,0.378,5,29,0.172,17,23,0.739,13,41,22,11,3,13,21,11.4363636363636,36,72,0.5,15,30,0.5,20,26,0.769,6,46,22,9,6,18,23,10.0444444444444
"67",67,67,"3/13/17","","MIL","W",113,93,41,79,0.519,14,27,0.519,17,23,0.739,11,37,30,11,0,12,20,12,31,67,0.463,14,26,0.538,17,20,0.85,8,32,21,6,5,16,21,11.52
"68",68,68,"3/15/17","@","CHI","W",98,91,36,85,0.424,11,31,0.355,15,18,0.833,14,52,26,2,3,11,19,12,34,91,0.374,11,28,0.393,12,15,0.8,14,45,22,6,6,5,19,12.2888888888889
"69",69,69,"3/16/17","@","ATL","W",103,91,39,92,0.424,10,28,0.357,15,18,0.833,16,48,29,7,5,11,25,12,29,71,0.408,8,27,0.296,25,34,0.735,8,38,19,6,9,17,17,12.1375
"70",70,70,"3/18/17","","SAS","W",104,96,32,76,0.421,13,30,0.433,27,31,0.871,7,35,20,7,3,10,18,12.3888888888889,33,75,0.44,9,28,0.321,21,22,0.955,9,42,18,2,5,15,25,13.88
"71",71,71,"3/21/17","@","NOP","L",82,95,32,79,0.405,9,35,0.257,9,13,0.692,4,41,17,7,3,15,20,11.25,35,88,0.398,9,29,0.31,16,19,0.842,12,51,16,8,3,12,17,15.7375
"72",72,72,"3/23/17","@","SAS","L",90,97,34,78,0.436,10,29,0.345,12,15,0.8,10,42,18,4,4,13,18,12.3888888888889,37,77,0.481,8,26,0.308,15,23,0.652,6,35,26,6,5,6,19,13.88
"73",73,73,"3/26/17","@","GSW","L",94,106,38,85,0.447,8,29,0.276,10,15,0.667,13,37,21,11,0,13,13,10.9888888888889,39,71,0.549,17,31,0.548,11,15,0.733,7,37,30,9,4,18,15,12.39
"74",74,74,"3/27/17","@","SAC","L",90,91,31,90,0.344,5,26,0.192,23,29,0.793,19,45,15,4,2,7,18,10.9888888888889,31,67,0.463,6,25,0.24,23,30,0.767,8,36,16,4,6,11,23,10.025
"75",75,75,"3/29/17","","IND","W",110,97,41,88,0.466,12,32,0.375,16,18,0.889,9,43,22,8,3,8,19,10.7125,37,85,0.435,10,25,0.4,13,15,0.867,12,43,19,5,7,12,18,11.9777777777778
"76",76,76,"3/31/17","","DAL","W",99,90,35,75,0.467,11,27,0.407,18,20,0.9,8,47,23,4,4,13,22,10.35,29,76,0.382,12,34,0.353,20,25,0.8,6,38,15,7,4,8,21,12.44
"77",77,77,"4/2/17","@","LAL","L",103,108,40,80,0.5,13,30,0.433,10,14,0.714,5,33,29,8,5,14,19,9.7,40,85,0.471,7,19,0.368,21,27,0.778,17,51,14,11,2,13,12,9.6625
"78",78,78,"4/4/17","@","SAS","L",89,95,35,89,0.393,8,25,0.32,11,18,0.611,12,50,26,9,2,15,20,10.96,35,80,0.438,11,21,0.524,14,18,0.778,8,46,22,8,6,15,20,11.85
"79",79,79,"4/5/17","","OKC","L",100,103,37,78,0.474,9,26,0.346,17,21,0.81,7,38,21,7,5,13,18,9.76,37,85,0.435,14,31,0.452,15,24,0.625,12,44,19,8,3,12,20,13.4444444444444
"80",80,80,"4/7/17","","NYK","W",101,88,38,75,0.507,15,27,0.556,10,12,0.833,7,38,20,3,9,12,14,12.2111111111111,38,88,0.432,6,28,0.214,6,13,0.462,15,41,20,8,4,6,16,8.01
"81",81,81,"4/9/17","","DET","L",90,103,36,75,0.48,9,21,0.429,9,13,0.692,6,30,23,12,3,15,16,9.325,39,82,0.476,14,28,0.5,11,16,0.688,15,46,21,8,2,18,12,9.19
"82",82,82,"4/12/17","","DAL","L",93,100,33,84,0.393,8,25,0.32,19,22,0.864,16,48,18,4,5,14,23,10.72,33,75,0.44,9,34,0.265,25,31,0.806,8,37,21,9,5,12,19,6.88
