"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"47",47,"1/30/16","","DET","W",111,107,36,78,0.462,4,14,0.286,35,47,0.745,13,45,12,9,3,13,20,39,87,0.448,9,29,0.31,20,34,0.588,10,39,9,10,6,11,29
"48",48,"2/1/16","@","DEN","L",93,112,29,78,0.372,8,25,0.32,27,39,0.692,9,35,13,13,6,12,17,45,83,0.542,10,22,0.455,12,15,0.8,7,49,28,6,5,19,25
"49",49,"2/2/16","@","PHO","W",104,97,35,74,0.473,9,27,0.333,25,32,0.781,8,35,15,9,3,12,22,37,79,0.468,12,31,0.387,11,15,0.733,8,38,23,5,4,16,26
"50",50,"2/4/16","@","POR","W",110,103,40,85,0.471,12,19,0.632,18,25,0.72,12,45,23,7,6,14,18,38,81,0.469,10,25,0.4,17,23,0.739,10,40,21,8,6,14,20
"51",51,"2/8/16","@","DET","W",103,89,39,70,0.557,11,20,0.55,14,17,0.824,2,36,22,11,2,15,22,36,80,0.45,8,28,0.286,9,17,0.529,11,39,22,7,2,16,18
"52",52,"2/10/16","@","MIN","L",112,117,39,86,0.453,10,31,0.323,24,32,0.75,11,40,19,3,10,6,34,35,76,0.461,4,14,0.286,43,53,0.811,12,45,22,5,6,7,21
"53",53,"2/19/16","@","CHI","L",106,116,38,88,0.432,5,18,0.278,25,34,0.735,11,45,22,7,7,8,19,48,93,0.516,7,16,0.438,13,20,0.65,11,49,32,4,6,9,27
"54",54,"2/21/16","","MEM","W",98,85,33,81,0.407,7,28,0.25,25,31,0.806,9,47,12,4,2,12,22,28,76,0.368,3,20,0.15,26,32,0.813,10,44,13,6,3,13,25
"55",55,"2/22/16","@","NYK","W",122,95,46,87,0.529,11,25,0.44,19,25,0.76,13,47,26,7,6,6,19,37,84,0.44,6,20,0.3,15,23,0.652,12,40,18,2,3,8,20
"56",56,"2/24/16","","MIN","W",114,105,41,85,0.482,10,26,0.385,22,26,0.846,13,39,21,7,7,12,22,37,74,0.5,6,10,0.6,25,33,0.758,11,36,25,8,4,15,22
"57",57,"2/26/16","","CLE","W",99,97,37,73,0.507,6,17,0.353,19,26,0.731,5,34,18,6,0,11,23,35,74,0.473,12,24,0.5,15,21,0.714,10,39,21,4,0,14,26
"58",58,"2/28/16","@","DET","L",101,114,39,80,0.488,10,21,0.476,13,18,0.722,8,32,21,5,1,5,24,41,71,0.577,12,23,0.522,20,27,0.741,7,38,28,2,1,10,20
"59",59,"3/2/16","","UTA","W",104,94,40,80,0.5,6,22,0.273,18,21,0.857,10,45,12,7,5,9,18,37,83,0.446,10,26,0.385,10,16,0.625,10,33,21,6,6,9,21
