"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"16",16,"11/29/15","@","LAL","W",107,103,34,83,0.41,9,27,0.333,30,37,0.811,9,50,17,4,5,15,18,38,99,0.384,11,33,0.333,16,22,0.727,15,54,17,6,5,10,27
"17",17,"12/2/15","@","LAC","W",103,91,32,76,0.421,7,20,0.35,32,39,0.821,9,47,16,7,6,14,26,30,79,0.38,6,27,0.222,25,39,0.641,10,40,19,4,2,15,31
"18",18,"12/3/15","@","POR","L",111,123,38,88,0.432,13,30,0.433,22,24,0.917,15,41,18,4,3,12,17,44,85,0.518,18,36,0.5,17,20,0.85,15,48,26,11,3,15,20
"19",19,"12/5/15","@","UTA","L",119,122,40,93,0.43,12,29,0.414,27,34,0.794,12,44,17,10,2,15,34,43,92,0.467,8,23,0.348,28,37,0.757,19,54,21,7,3,15,30
"20",20,"12/8/15","","GSW","L",123,131,44,100,0.44,14,33,0.424,21,26,0.808,16,44,23,8,3,16,18,52,95,0.547,16,35,0.457,11,15,0.733,10,46,29,10,6,15,19
"21",21,"12/11/15","","MIA","W",96,83,36,86,0.419,6,28,0.214,18,20,0.9,7,45,22,13,6,12,13,35,81,0.432,5,20,0.25,8,13,0.615,8,45,14,6,8,19,16
"22",22,"12/12/15","@","DET","L",96,118,41,82,0.5,3,16,0.188,11,18,0.611,5,33,17,7,2,16,16,45,90,0.5,13,29,0.448,15,19,0.789,10,46,26,11,6,14,18
"23",23,"12/14/15","","TOR","W",106,90,41,86,0.477,10,22,0.455,14,16,0.875,10,44,14,8,3,14,21,29,79,0.367,10,28,0.357,22,26,0.846,15,45,10,9,6,18,21
"24",24,"12/16/15","","DAL","W",107,81,43,89,0.483,11,29,0.379,10,17,0.588,5,47,28,9,4,8,17,33,90,0.367,8,33,0.242,7,10,0.7,11,47,16,2,3,11,16
"25",25,"12/18/15","","BRK","W",104,97,37,89,0.416,7,28,0.25,23,26,0.885,14,52,17,4,4,11,15,36,86,0.419,8,16,0.5,17,17,1,9,42,18,7,6,12,21
"26",26,"12/19/15","@","MEM","L",84,96,30,77,0.39,5,28,0.179,19,25,0.76,13,45,12,8,2,17,20,37,83,0.446,5,19,0.263,17,21,0.81,9,46,21,9,6,9,20
"27",27,"12/21/15","@","SAS","L",92,106,38,90,0.422,7,19,0.368,9,15,0.6,13,48,21,5,3,14,15,46,89,0.517,6,20,0.3,8,9,0.889,7,45,27,8,7,9,14
"28",28,"12/23/15","","SAC","L",106,108,41,89,0.461,12,32,0.375,12,20,0.6,6,38,20,14,4,11,16,46,89,0.517,4,23,0.174,12,16,0.75,6,49,28,6,4,16,16
