Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
45,45,1/26/16,@,IND,W,91,89,32,78,0.41,15,37,0.405,12,24,0.5,9,44,16,9,5,15,20,,35,83,0.422,5,16,0.313,14,24,0.583,12,48,18,7,2,17,17
46,46,1/27/16,@,ATL,W,85,83,33,85,0.388,5,27,0.185,14,21,0.667,9,46,18,16,5,11,14,,33,79,0.418,10,23,0.435,7,14,0.5,8,49,21,6,3,22,17
47,47,1/29/16,,LAL,W,105,93,40,81,0.494,8,26,0.308,17,24,0.708,5,38,20,10,9,8,19,,34,78,0.436,5,13,0.385,20,25,0.8,11,48,19,6,4,17,21
48,48,1/31/16,,CHI,W,120,93,45,84,0.536,17,32,0.531,13,19,0.684,7,46,26,8,6,11,15,,40,93,0.43,5,15,0.333,8,11,0.727,11,42,19,2,4,9,20
49,49,2/3/16,,MIN,L,102,108,33,75,0.44,11,32,0.344,25,34,0.735,11,35,20,10,6,13,22,,39,77,0.506,8,17,0.471,22,26,0.846,10,42,24,6,3,15,24
50,50,2/5/16,@,ORL,W,107,93,40,74,0.541,8,27,0.296,19,23,0.826,6,44,15,13,8,22,23,,34,81,0.42,4,20,0.2,21,28,0.75,11,39,19,6,1,18,20
51,51,2/7/16,@,MIA,W,100,93,37,81,0.457,9,25,0.36,17,33,0.515,7,42,17,8,5,6,25,,33,83,0.398,7,17,0.412,20,29,0.69,13,53,14,2,0,13,21
52,52,2/8/16,@,PHI,W,98,92,35,95,0.368,5,22,0.227,23,31,0.742,14,52,21,12,4,12,22,,34,90,0.378,6,25,0.24,18,21,0.857,11,54,20,7,5,20,31
53,53,2/10/16,@,BOS,L,134,139,44,85,0.518,12,30,0.4,34,50,0.68,9,44,25,7,9,14,29,,47,95,0.495,13,33,0.394,32,37,0.865,8,43,34,5,2,10,33
54,54,2/18/16,,SAS,W,105,86,39,78,0.5,12,25,0.48,15,20,0.75,8,45,23,8,7,18,20,,35,83,0.422,4,17,0.235,12,15,0.8,5,33,19,11,2,15,16
55,55,2/20/16,,GSW,L,112,115,42,94,0.447,13,36,0.361,15,18,0.833,15,49,24,9,2,14,24,,42,82,0.512,11,31,0.355,20,26,0.769,6,39,32,8,2,14,19
56,56,2/22/16,,PHO,W,124,84,44,80,0.55,13,24,0.542,23,35,0.657,10,53,29,9,10,16,20,,31,88,0.352,7,24,0.292,15,20,0.75,10,41,20,8,2,16,27
57,57,2/24/16,,DEN,L,81,87,30,85,0.353,13,46,0.283,8,14,0.571,9,47,19,13,9,17,20,,34,90,0.378,6,24,0.25,13,17,0.765,14,57,18,11,2,16,14
58,58,2/26/16,@,SAC,W,117,107,43,89,0.483,9,29,0.31,22,26,0.846,11,41,18,6,4,8,27,,34,78,0.436,12,24,0.5,27,37,0.73,13,44,19,6,3,16,23
59,59,2/29/16,,BRK,W,105,95,41,83,0.494,9,23,0.391,14,16,0.875,8,47,22,8,4,11,22,,32,77,0.416,8,19,0.421,23,33,0.697,11,44,25,10,3,13,19
60,60,3/2/16,,OKC,W,103,98,40,98,0.408,9,32,0.281,14,21,0.667,12,45,26,11,3,6,13,,39,98,0.398,10,35,0.286,10,11,0.909,18,63,22,3,8,17,21
61,61,3/5/16,,ATL,L,97,107,34,79,0.43,12,32,0.375,17,28,0.607,6,41,22,10,10,18,20,,40,89,0.449,10,27,0.37,17,20,0.85,10,53,26,9,3,18,26
62,62,3/7/16,@,DAL,W,109,90,39,83,0.47,12,32,0.375,19,29,0.655,6,48,18,10,7,9,25,,30,81,0.37,4,25,0.16,26,32,0.813,12,51,15,5,1,15,19
63,63,3/9/16,@,OKC,L,108,120,41,81,0.506,12,34,0.353,14,23,0.609,2,29,29,11,4,10,17,,48,91,0.527,9,24,0.375,15,18,0.833,10,52,33,6,2,16,20
64,64,3/11/16,,NYK,W,101,94,38,85,0.447,13,29,0.448,12,16,0.75,10,44,23,8,9,13,22,,34,83,0.41,4,20,0.2,22,25,0.88,14,48,23,7,3,14,20
65,65,3/13/16,,CLE,L,90,114,32,79,0.405,10,32,0.313,16,19,0.842,5,34,23,5,4,10,23,,41,84,0.488,18,37,0.486,14,20,0.7,9,49,23,3,4,8,19
66,66,3/15/16,@,SAS,L,87,108,32,69,0.464,8,19,0.421,15,22,0.682,5,27,15,5,4,13,17,,44,82,0.537,8,20,0.4,12,16,0.75,12,42,25,6,4,10,21
67,67,3/16/16,@,HOU,W,122,106,43,76,0.566,12,30,0.4,24,32,0.75,7,33,31,9,7,10,20,,40,82,0.488,9,25,0.36,17,24,0.708,13,39,23,5,3,15,25
68,68,3/19/16,@,MEM,L,102,113,31,66,0.47,12,30,0.4,28,39,0.718,4,30,18,8,8,14,27,,40,82,0.488,4,15,0.267,29,36,0.806,18,44,23,9,5,13,28
69,69,3/20/16,@,NOP,L,105,109,33,82,0.402,10,39,0.256,29,42,0.69,7,35,21,12,5,12,28,,35,71,0.493,7,21,0.333,32,40,0.8,10,54,22,9,1,23,34
70,70,3/23/16,@,GSW,L,98,114,36,85,0.424,8,28,0.286,18,27,0.667,8,46,21,8,7,10,22,,39,87,0.448,15,34,0.441,21,28,0.75,11,50,23,9,5,12,20
71,71,3/24/16,,POR,W,96,94,37,82,0.451,4,19,0.211,18,28,0.643,11,47,21,9,5,16,29,,32,80,0.4,6,24,0.25,24,32,0.75,9,41,18,10,5,15,25
72,72,3/27/16,,DEN,W,105,90,38,80,0.475,10,28,0.357,19,26,0.731,17,44,24,13,11,14,19,,37,94,0.394,7,29,0.241,9,13,0.692,20,44,24,7,5,15,19
73,73,3/28/16,,BOS,W,114,90,44,84,0.524,11,25,0.44,15,18,0.833,9,45,29,13,5,14,23,,31,89,0.348,7,19,0.368,21,27,0.778,18,49,14,7,4,16,17
74,74,3/30/16,@,MIN,W,99,79,37,84,0.44,9,31,0.29,16,18,0.889,7,41,26,8,9,7,17,,30,87,0.345,8,23,0.348,11,17,0.647,14,53,20,2,1,16,15
75,75,3/31/16,@,OKC,L,117,119,42,76,0.553,16,29,0.552,17,22,0.773,5,26,22,9,4,12,17,,45,87,0.517,10,32,0.313,19,24,0.792,17,46,25,10,1,14,13
76,76,4/3/16,,WAS,W,114,109,43,85,0.506,8,19,0.421,20,33,0.606,10,44,27,9,4,11,17,,43,94,0.457,11,30,0.367,12,21,0.571,17,51,31,8,1,14,29
77,77,4/5/16,,LAL,W,103,81,40,78,0.513,7,20,0.35,16,26,0.615,6,46,26,11,4,13,17,,26,83,0.313,6,20,0.3,23,25,0.92,14,43,11,10,3,15,23
78,78,4/6/16,@,LAL,W,91,81,37,83,0.446,7,25,0.28,10,14,0.714,10,49,23,10,6,10,17,,32,90,0.356,4,19,0.211,13,17,0.765,16,49,12,6,1,12,16
79,79,4/8/16,@,UTA,W,102,99,37,83,0.446,13,29,0.448,15,19,0.789,8,44,16,13,3,11,20,,36,82,0.439,11,31,0.355,16,23,0.696,9,47,14,7,6,18,15
80,80,4/10/16,,DAL,W,98,91,37,76,0.487,9,18,0.5,15,37,0.405,6,42,25,11,6,10,20,,30,74,0.405,8,30,0.267,23,33,0.697,5,47,18,6,5,14,29
81,81,4/12/16,,MEM,W,110,84,41,75,0.547,12,25,0.48,16,21,0.762,8,41,29,11,7,9,19,,35,86,0.407,5,20,0.25,9,14,0.643,13,38,16,5,1,16,18
82,82,4/13/16,@,PHO,L,105,114,43,96,0.448,9,31,0.29,10,12,0.833,6,40,23,9,6,15,20,,45,99,0.455,7,26,0.269,17,22,0.773,18,58,26,10,5,16,15
